"","ICC.c","ICCk.c","sigma2_b","sigma2_w","var.data","error.message","Domain","Task"
"MMSE_Score",0.423119840143467,0.594636977446413,0.0243158690319225,0.0331521736476118,0.0574235547061634,0,"Alertness","MMSE_Score"
"PSQI_Score",0.553380388075209,0.71248535429355,0.0140416241754055,0.0113326472624488,0.0256553968285381,0,"Alertness","PSQI_Score"
"PicSeq_Unadj",0.623793801357834,0.76831652003624,0.0309040885227614,0.0186380653997228,0.0494081725708764,0,"Cognition","PicSeq_Unadj"
"PicSeq_AgeAdj",0.630974370472341,0.773739160952734,0.0365970267605176,0.0214037867006083,0.0571212336063446,0,"Cognition","PicSeq_AgeAdj"
"CardSort_Unadj",0.467895283004493,0.637504988839263,0.0169944747960272,0.0193266325400004,0.0410802949850223,0,"Cognition","CardSort_Unadj"
"CardSort_AgeAdj",0.52510417961622,0.68861417683395,0.0293777862632202,0.0265687999640907,0.0567371632950813,0,"Cognition","CardSort_AgeAdj"
"Flanker_Unadj",0.504212785702808,0.670400877449298,0.0242613331287096,0.0238559177952083,0.0539090869764223,0,"Cognition","Flanker_Unadj"
"Flanker_AgeAdj",0.484984235919101,0.653184356019685,0.0278407998749241,0.0295647770757629,0.0593235086286706,0,"Cognition","Flanker_AgeAdj"
"PMAT24_A_CR",0.707864787011013,0.828947106813847,0.0442532595866284,0.0182632836835765,0.0702866698518873,0,"Cognition","PMAT24_A_CR"
"PMAT24_A_SI",0.674580067317026,0.805670723643358,0.0545221003297702,0.0263016639219935,0.0858523119392685,0,"Cognition","PMAT24_A_SI"
"PMAT24_A_RTCR",0.571088708302417,0.726997406683021,0.0323287030172297,0.0242801959983506,0.056179458469412,0,"Cognition","PMAT24_A_RTCR"
"ReadEng_Unadj",0.789706570964459,0.882498375740881,0.0319769730093792,0.00851524800674597,0.0471165467742977,0,"Cognition","ReadEng_Unadj"
"ReadEng_AgeAdj",0.851803684624071,0.91997190814208,0.045266981999779,0.00787552350576693,0.0645499448069538,0,"Cognition","ReadEng_AgeAdj"
"PicVocab_Unadj",0.827742105272538,0.90575371972307,0.0276699802227575,0.00575828209047474,0.0353397720417288,0,"Cognition","PicVocab_Unadj"
"PicVocab_AgeAdj",0.827438907026563,0.905572168618095,0.0279586002186624,0.00583072245064839,0.0405838695694422,0,"Cognition","PicVocab_AgeAdj"
"ProcSpeed_Unadj",0.632096183934319,0.774582025442389,0.026868036231692,0.0156382103089197,0.046231649581695,0,"Cognition","ProcSpeed_Unadj"
"ProcSpeed_AgeAdj",0.643695342350622,0.783229502165631,0.0285579027833272,0.015807654809556,0.0454266561316607,0,"Cognition","ProcSpeed_AgeAdj"
"DDisc_SV_1mo_200",0.589805756424739,0.741984678368675,0.0374781944907001,0.0260650891793067,0.0632417507841659,0,"Cognition","DDisc_SV_1mo_200"
"DDisc_SV_6mo_200",0.670785428158493,0.802958197807387,0.0638714087600942,0.0313474288575331,0.0957687857995508,0,"Cognition","DDisc_SV_6mo_200"
"DDisc_SV_1yr_200",0.607348831047536,0.755715025035004,0.0658276179841855,0.0425575712498962,0.106450046808822,0,"Cognition","DDisc_SV_1yr_200"
"DDisc_SV_3yr_200",0.68319787095587,0.811785569296008,0.0432281238307951,0.020045088321219,0.0646642246642247,0,"Cognition","DDisc_SV_3yr_200"
"DDisc_SV_5yr_200",0.691766820639198,0.817803981257687,0.0338927405539726,0.0151017176113604,0.0481874767744333,0,"Cognition","DDisc_SV_5yr_200"
"DDisc_SV_10yr_200",0.707004114855177,0.828356661477831,0.0298395534769457,0.0123660756700049,0.0421930243669374,0,"Cognition","DDisc_SV_10yr_200"
"DDisc_SV_1mo_40K",0.507232338015591,0.673064563733298,0.0371420074391117,0.0360828338326805,0.0708067325155504,0,"Cognition","DDisc_SV_1mo_40K"
"DDisc_SV_6mo_40K",0.712699120757515,0.832252568031089,0.0625508249003427,0.0252152787449916,0.0845815271458849,0,"Cognition","DDisc_SV_6mo_40K"
"DDisc_SV_1yr_40K",0.839443082331443,0.912714386647368,0.1127681648643,0.0215687154291217,0.13028861379764,0,"Cognition","DDisc_SV_1yr_40K"
"DDisc_SV_3yr_40K",0.647566749491984,0.786088636095207,0.0751479006057662,0.0408986701372803,0.117095511374568,0,"Cognition","DDisc_SV_3yr_40K"
"DDisc_SV_5yr_40K",0.617110312271606,0.76322599341381,0.0751336336170419,0.0466171006082089,0.120915911668298,0,"Cognition","DDisc_SV_5yr_40K"
"DDisc_SV_10yr_40K",0.58862094345844,0.741046435126315,0.0652609051609765,0.0456099462523903,0.108983639533791,0,"Cognition","DDisc_SV_10yr_40K"
"DDisc_AUC_200",0.797147013583422,0.887124990396807,0.0357190445015535,0.00908955904697563,0.0448494185469341,0,"Cognition","DDisc_AUC_200"
"DDisc_AUC_40K",0.766923809799255,0.868089280981943,0.0697860210275122,0.0212087037884756,0.0898830827406449,0,"Cognition","DDisc_AUC_40K"
"VSPLOT_TC",0.720730136841881,0.837702695397273,0.0335136582888098,0.0129859350758593,0.0536056741042891,0,"Cognition","VSPLOT_TC"
"VSPLOT_CRTE",0.602083438216195,0.751625569373055,0.00980430820768239,0.00647966106529714,0.0165173158042125,0,"Cognition","VSPLOT_CRTE"
"VSPLOT_OFF",0.764303828827219,0.866408400116971,0.0271476878308109,0.00837180952990168,0.0445842237150332,0,"Cognition","VSPLOT_OFF"
"SCPT_TP",0.72698377494474,0.84191152863379,0.0214488216157795,0.00805503026510997,0.0292511179130724,0,"Cognition","SCPT_TP"
"SCPT_TN",0.706810867239057,0.828224006309963,0.0279331837818939,0.0115868421212256,0.0432635231804207,0,"Cognition","SCPT_TN"
"SCPT_FP",0.706810839729115,0.828223987423576,0.0279331815744248,0.0115868427437226,0.0432635231804207,0,"Cognition","SCPT_FP"
"SCPT_FN",0.726983774889303,0.841911528596615,0.0214488216122532,0.00805503026603552,0.0292511179130724,0,"Cognition","SCPT_FN"
"SCPT_TPRT",0.838884733910188,0.912384249475377,0.0376462992869231,0.00723030624080794,0.0485767385352725,0,"Cognition","SCPT_TPRT"
"SCPT_SEN",0.727119664458963,0.842002646859725,0.0214547208536788,0.00805173028822901,0.0292541317052602,0,"Cognition","SCPT_SEN"
"SCPT_SPEC",0.706986791908889,0.828344771336256,0.027952984925098,0.011585214720222,0.0432839676627445,0,"Cognition","SCPT_SPEC"
"SCPT_LRNR",0.384821664389258,0.555770716598335,0.00554859730027595,0.00887002257935583,0.0142472654692876,0,"Cognition","SCPT_LRNR"
"IWRD_TOT",0.393332728414901,0.564592678250469,0.0168640603728906,0.0260107353270538,0.0416345490258534,0,"Cognition","IWRD_TOT"
"IWRD_RTC",0.630384210450715,0.773295283909118,0.0231837915772277,0.0135934487039838,0.043293720599511,0,"Cognition","IWRD_RTC"
"ListSort_Unadj",0.749960807157769,0.857117261244075,0.038616985969686,0.012875019480623,0.0518821762754632,0,"Cognition","ListSort_Unadj"
"ListSort_AgeAdj",0.746500022989511,0.854852577341185,0.0379369420595228,0.0128828046132189,0.049733114709589,0,"Cognition","ListSort_AgeAdj"
"CogFluidComp_Unadj",0.721329604100332,0.838107475037985,0.0302709603260577,0.0116945435905779,0.051359387748886,0,"Cognition","CogFluidComp_Unadj"
"CogFluidComp_AgeAdj",0.729848497719782,0.843829385847188,0.0359954536532532,0.0133236225190092,0.0543118928462597,0,"Cognition","CogFluidComp_AgeAdj"
"CogEarlyComp_Unadj",0.652567111335035,0.789761706933469,0.0303669094732365,0.0161676291907046,0.0561243981723102,0,"Cognition","CogEarlyComp_Unadj"
"CogEarlyComp_AgeAdj",0.663973001643548,0.798057421590044,0.0344054839356282,0.0174121108317246,0.0584074950082855,0,"Cognition","CogEarlyComp_AgeAdj"
"CogTotalComp_Unadj",0.917128551756667,0.956773139616851,0.0509134372833025,0.00460052222191951,0.0722613498832847,0,"Cognition","CogTotalComp_Unadj"
"CogTotalComp_AgeAdj",0.916015812253571,0.956167278365177,0.0496085584119181,0.00454832157672721,0.0678054248131998,0,"Cognition","CogTotalComp_AgeAdj"
"CogCrystalComp_Unadj",0.859129069634306,0.924227460768281,0.033487820977945,0.00549097995146519,0.0451918412260448,0,"Cognition","CogCrystalComp_Unadj"
"CogCrystalComp_AgeAdj",0.877024401216775,0.934483750608939,0.0408621284564247,0.00572965211402807,0.0580590584330134,0,"Cognition","CogCrystalComp_AgeAdj"
"ER40_CR",0.451627838122444,0.622236397321487,0.0174871946751486,0.0212331701895335,0.0377674807826596,0,"Emotion","ER40_CR"
"ER40_CRT",0.517767505837014,0.68227512296289,0.0277908731099568,0.0258835517943843,0.0527251839808625,0,"Emotion","ER40_CRT"
"ER40ANG",0.341796791707386,0.509461333966169,0.0143092594542651,0.0275555555511237,0.0424844720496894,0,"Emotion","ER40ANG"
"ER40FEAR",0.236496494562699,0.382526752971247,0.0192098417498437,0.0620169087157994,0.0837912087912088,0,"Emotion","ER40FEAR"
"ER40HAP",0,0,0,0.0217456704049226,0.0215002388915432,0,"Emotion","ER40HAP"
"ER40NOE",0.295627893047568,0.456346910457745,0.0212196434606512,0.0505585748999447,0.0695398351648352,0,"Emotion","ER40NOE"
"ER40SAD",0.36840897354562,0.538448637312065,0.0187840489727389,0.0322028984730807,0.0527998088867654,0,"Emotion","ER40SAD"
"AngAffect_Unadj",0.693920841803092,0.819307283644316,0.0342687930026321,0.0151155040788443,0.0499058216154794,0,"Emotion","AngAffect_Unadj"
"AngHostil_Unadj",0.691823888850469,0.81784385881977,0.0385309392447461,0.0171637828741575,0.0543445515801568,0,"Emotion","AngHostil_Unadj"
"AngAggr_Unadj",0.517142683253601,0.681732428942752,0.0427103730312415,0.0398787738605397,0.0841096366954472,0,"Emotion","AngAggr_Unadj"
"FearAffect_Unadj",0.693958504656398,0.819333534733969,0.0278683624056826,0.0122901805312343,0.0399084122069431,0,"Emotion","FearAffect_Unadj"
"FearSomat_Unadj",0.488223581802011,0.656115905932423,0.0359030897419571,0.037635123241202,0.0715958014513326,0,"Emotion","FearSomat_Unadj"
"Sadness_Unadj",0.652859338363089,0.789975678159824,0.035847986084956,0.0190612171361198,0.0535509100176772,0,"Emotion","Sadness_Unadj"
"LifeSatisf_Unadj",0.888850793633799,0.9411551157239,0.0476871902874342,0.005963198089314,0.0515534518516014,0,"Emotion","LifeSatisf_Unadj"
"MeanPurp_Unadj",0.871760520592908,0.931487239956065,0.0651878248067375,0.00958939125989683,0.0712066730889947,0,"Emotion","MeanPurp_Unadj"
"PosAffect_Unadj",0.663696009965636,0.797857308053945,0.0232847111918827,0.0117986866924715,0.0345325796994342,0,"Emotion","PosAffect_Unadj"
"Friendship_Unadj",0.729685295521682,0.843720296878173,0.0480775416051124,0.0178105089012909,0.0638953241460182,0,"Emotion","Friendship_Unadj"
"Loneliness_Unadj",0.73486604779739,0.847173242833804,0.0585505059848233,0.0211245669897908,0.0786500850586153,0,"Emotion","Loneliness_Unadj"
"PercHostil_Unadj",0.469822863989329,0.639291816041229,0.0323709855903144,0.0365294193739056,0.0734483419343812,0,"Emotion","PercHostil_Unadj"
"PercReject_Unadj",0.525478328543894,0.688935816014477,0.0294085115217047,0.0265567108751846,0.05566352176619,0,"Emotion","PercReject_Unadj"
"EmotSupp_Unadj",0.649832032375293,0.787755383121902,0.0452971227439161,0.0244087712212432,0.0664708761020416,0,"Emotion","EmotSupp_Unadj"
"InstruSupp_Unadj",0.613449221885149,0.76041961973665,0.0401117202937548,0.025275468837385,0.067130332227787,0,"Emotion","InstruSupp_Unadj"
"PercStress_Unadj",0.632726401249351,0.775055025465618,0.0211231775886345,0.0122612007886952,0.0321703370266083,0,"Emotion","PercStress_Unadj"
"SelfEff_Unadj",0.641803861659504,0.781827691659564,0.0244495723570165,0.0136455121658431,0.0385122684672014,0,"Emotion","SelfEff_Unadj"
"Endurance_Unadj",0.813247982370548,0.89700690724867,0.0211886583180243,0.00486570489879082,0.0315208346347919,0,"Motor","Endurance_Unadj"
"Endurance_AgeAdj",0.812032013281165,0.896266740686072,0.0219393007212092,0.00507847734958312,0.0303313369573041,0,"Motor","Endurance_AgeAdj"
"GaitSpeed_Comp",0.444571746992898,0.615506634292611,0.0181572920105874,0.0226849165494575,0.0421529028257656,0,"Motor","GaitSpeed_Comp"
"Dexterity_Unadj",0.461394266363995,0.631443925822922,0.0229600008662765,0.0268022145318735,0.0524275196346436,0,"Motor","Dexterity_Unadj"
