delta.sigma2_w,delta.sigma2_b,delta.theta,delta.sigma2_w_norm,delta.sigma2_b_norm,delta.theta_norm,parcel,contrast,comp
-3.70988877741276,-0.60994166911998,3.30454455461591,-3.45398620486902,-1.4850194871033,3.54764316667333,1,30min_10min_cpac_default_all,30min_10min
-4.43813237503096,-0.3808586057361,3.22719798787918,-3.8117452654481,-2.30492305450642,3.68545332039185,2,30min_10min_cpac_default_all,30min_10min
-4.52542410186434,-0.46283118298114,3.2435118341504,-4.14292535564662,-1.8787883071849,3.56734769316454,3,30min_10min_cpac_default_all,30min_10min
-2.87714599486457,-0.80865239176812,3.41558458358479,-2.63616602007845,-1.40801863661716,3.63215917945149,4,30min_10min_cpac_default_all,30min_10min
-6.03590671347246,-0.0178919940223699,3.14455690444179,-5.3495884070405,-2.79542373397128,3.62311655025446,5,30min_10min_cpac_default_all,30min_10min
-2.94076574916988,-1.92471934753253,3.72112199928608,-3.20717678911416,-1.43758992818679,3.56298329796567,6,30min_10min_cpac_default_all,30min_10min
-3.7809486755351,0.08098814598545,3.12017586906179,-3.56214813332018,-1.27013095510044,3.48410241901943,7,30min_10min_cpac_default_all,30min_10min
-4.30506133776726,-1.02040742934657,3.37432282706671,-3.97194589422006,-1.9489561968378,3.59775686461864,8,30min_10min_cpac_default_all,30min_10min
-4.33489688093956,-0.88690028904685,3.3434030097181,-4.03206747078124,-1.82218412959796,3.56604461779327,9,30min_10min_cpac_default_all,30min_10min
-2.36786989659963,-0.43094757369256,3.32162020706924,-2.24838855193207,-0.858645781469311,3.50639351483417,10,30min_10min_cpac_default_all,30min_10min
-4.70132562800078,-0.82956604492045,3.3162484213387,-4.32154772199728,-2.02851368491365,3.58045803956529,11,30min_10min_cpac_default_all,30min_10min
-3.34463103381715,-0.55737984865636,3.30672426729312,-3.03673891031545,-1.5084580997287,3.6026258029195,12,30min_10min_cpac_default_all,30min_10min
-2.98292179108854,-0.43344555407244,3.28589175538082,-2.83016051870805,-1.03725064398256,3.4928895324252,13,30min_10min_cpac_default_all,30min_10min
