"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-0.0110109730921624,-0.00273787826865806,3.38530030912755,-0.0102272226424427,-0.00491339219605179,3.58945630008701,"30min-10min"
"2",-0.0182334246013077,0.000804284744470999,3.09751076940453,-0.0168223491232514,-0.00707906890891772,3.53991182415969,"30min-10min"
"3",-0.00299347168400452,-0.00397443016633532,4.06685411119117,-0.00323887149588111,-0.00377712579922644,4.00355897941092,"30min-10min"
"4",-0.00792326495808594,-0.0033499677186751,3.54159961577991,-0.00819773096136581,-0.00260722427061084,3.44951863353888,"30min-10min"
"5",-0.0102713911778515,-0.00602351066671278,3.67197870969067,-0.00826271100508067,-0.00857390018177069,3.94547159941135,"30min-10min"
"6",-0.0172527782765747,-0.00825685195725791,3.58795871061583,-0.0157793894835653,-0.0108094787122539,3.74220615204089,"30min-10min"
"7",-0.0195628897048766,-0.0037169173720005,3.3293530375318,-0.0182457093666432,-0.00797597756161799,3.55370310778298,"30min-10min"
"8",-0.0287733995852311,0.0044507462239437,2.98812625501709,-0.0234930188007981,-0.0171987131282161,3.77352441841454,"30min-10min"
"9",-0.0372432722405868,-0.0003065311360317,3.14982297805557,-0.0317931736657173,-0.0193997267193473,3.68946769337404,"30min-10min"
"10",-0.0124644588330892,-0.00618602320222284,3.60227023744064,-0.0107736375483084,-0.00880672192350215,3.82687317556375,"30min-10min"
"11",-0.0130678716315154,0.0079904144181319,2.59279296481499,-0.0143805149839083,0.00527416157780976,2.79006780235028,"30min-10min"
"12",-0.0155897509575611,-0.0089405467332561,3.66229044451333,-0.0157494243719358,-0.00865617367899864,3.6441428546853,"30min-10min"
"13",-0.0145891723989354,-0.0074005612284085,3.61103452242328,-0.0150297622104733,-0.00645898642806357,3.54747667836255,"30min-10min"
"14",-0.0046327917721219,-0.0150589323667741,4.41393408309124,-0.00835650958293332,-0.0133567567628246,4.15333020321536,"30min-10min"
"15",-0.0167650111030093,-0.00889793168005563,3.62953201813695,-0.0138983689518186,-0.0129257156840961,3.89074625062344,"30min-10min"
"16",-0.0210870555612963,0.000148773552031099,3.13453756317075,-0.0209965156962377,-0.00195764512428218,3.23456054908043,"30min-10min"
"17",-0.0129586873970788,0.00200535358601405,2.98806074521559,-0.0105811748530984,-0.0077451766144038,3.77345890861304,"30min-10min"
"18",-0.026990251434624,0.00890091507835047,2.82304116315589,-0.0253788872260198,-0.0127910924046854,3.60843932655333,"30min-10min"
"19",-0.0110616050090349,0.00278191153442818,2.89520970749007,-0.00979649048546102,-0.00584182431519153,3.67930045540703,"30min-10min"
"20",-0.00653147194329468,-0.00483217014574877,3.77855226143274,-0.00557176228553719,-0.00591315982339195,3.95670778266341,"30min-10min"
"21",-0.0110354065505795,-0.0154743780056924,4.0928981849932,-0.0127796870341937,-0.0140682682554638,3.97494952101416,"30min-10min"
"22",-0.00633483076176335,-0.0133504835141009,4.26934706810001,-0.0118192835005783,-0.00886961263942343,3.78537257113242,"30min-10min"
"23",-0.0146817304693739,-0.0040289068026575,3.40941616346149,-0.0130495978546596,-0.00784176609135376,3.68268844833246,"30min-10min"
"24",-0.0154614591794452,-0.0031781372091393,3.34432113867339,-0.0145205274326436,-0.00618963320040933,3.54453664392624,"30min-10min"
"25",-0.0189095870014509,-0.0072745152607054,3.50884006496774,-0.0165687097965801,-0.0116605706773034,3.75484473543399,"30min-10min"
