"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-0.0153847380996393,0.00843048506522132,2.64030381455829,-0.0174522598978364,-0.00178377949528075,3.24344803604384,"30min-10min"
"2",-0.0198727619702655,0.00808388275823802,2.75525339307722,-0.019768333066748,-0.00833599643341373,3.54065155647467,"30min-10min"
"3",-0.0163270341975344,0.00995125350390329,2.59422042334109,-0.0185815554316577,-0.00450835776382484,3.37961858673853,"30min-10min"
"4",-0.00957369418566311,0.00548100466925322,2.62163412619557,-0.0105676447747151,0.00316574106022788,2.85053112062551,"30min-10min"
"5",-0.0138691122286235,0.00620925121531591,2.72065007131055,-0.0150750607777274,-0.00191039713485994,3.26764640415935,"30min-10min"
"6",-0.0337217588613413,0.0114593567335487,2.81401474250457,-0.0320847703513051,-0.0154609633902028,3.59063830901832,"30min-10min"
"7",-0.0191656006084815,0.0050025621159546,2.88627151687756,-0.0194709462348822,0.00363704923339482,2.95692714573943,"30min-10min"
"8",-0.015220295170176,0.0041689038376569,2.87424541925302,-0.0156137292852316,0.00229098277654283,2.99590351039617,"30min-10min"
"9",-0.0158846102270915,0.000852503936874201,3.08797554598541,-0.0158395228579699,-0.0014687139479334,3.23405290498272,"30min-10min"
"10",-0.0151023557864306,0.0020361822524276,3.00757533342237,-0.0143102428825266,0.00523871521540647,2.79066377274871,"30min-10min"
"11",-0.01948071942417,0.0128743494599516,2.55760935400892,-0.0232189731598362,0.00247519467981787,3.03539148745592,"30min-10min"
"12",-0.0142248969532078,0.00450373634144892,2.83496836640524,-0.0144590990842775,-0.00368317635115572,3.39101875522177,"30min-10min"
"13",-0.0094164604876521,0.00379106652662419,2.75884695118116,-0.00944621632634924,-0.00371630335691487,3.51641129676425,"30min-10min"
"14",-0.0124978218092674,-0.000889983648534699,3.21268374830936,-0.0122119635491731,-0.00280277846868532,3.36719644394603,"30min-10min"
"15",-0.00798972432817596,0.00304647175347556,2.77731127508777,-0.00837158564157232,-0.00174161959991023,3.34670631357976,"30min-10min"
"16",-0.0195707014492043,0.0078493104117459,2.76016027771321,-0.0199186374523499,0.00691895304187538,2.80727098244262,"30min-10min"
"17",-0.0130644475631881,0.0061773383657206,2.69991159994267,-0.0139031067722248,0.00394245120401126,2.86528008229813,"30min-10min"
"18",-0.0208496626725834,0.012398541876601,2.60510598897608,-0.023949134125933,-0.0038563258218696,3.30124377216232,"30min-10min"
"19",-0.0102324188926197,0.0056460950106363,2.63738005282345,-0.0108433716916541,0.00435913702695927,2.75935526172735,"30min-10min"
"20",-0.0181658143395823,0.00149327016198897,3.05957484467504,-0.0166478467393732,-0.00742131156462269,3.56093341395751,"30min-10min"
"21",-0.00924561828746384,0.0008472658605849,3.05020817504831,-0.00919722587627628,-0.00126899690178997,3.27870300319029,"30min-10min"
"22",-0.0165285421513305,0.0030787654445184,2.95743355103694,-0.0167276718641005,-0.00169011724967529,3.24228813818537,"30min-10min"
"23",-0.0207907283790722,0.0018753692844732,3.05163391507479,-0.0204845932004703,-0.00401905932983721,3.33533087213763,"30min-10min"
"24",-0.0106570971824011,-0.010960912089003,3.94104367926075,-0.0124422524614325,-0.00888288623500096,3.76160597034806,"30min-10min"
"25",-0.0207266343455592,0.0046539388237938,2.92071699162266,-0.0210525519911588,-0.00283594297010491,3.27549440078604,"30min-10min"
"26",-0.0217960054844284,-0.00021676679348182,3.15153757892942,-0.0192113046475877,-0.0102975053608903,3.6336337551028,"30min-10min"
"27",-0.00946529383846285,0.0015222570704399,2.98213296548236,-0.00956076839665719,0.000707645181166506,3.06771185731191,"30min-10min"
"28",-0.0149829328006625,0.0055667960950228,2.78585666905417,-0.01547099113862,0.00401571005694779,2.88763316953044,"30min-10min"
"29",-0.0134986402228963,0.00688681903320993,2.66982938531971,-0.0150995539493685,0.00128258909767973,3.05685388010987,"30min-10min"
"30",-0.00903760496923485,0.00679498640629574,2.49690413459423,-0.0111920700103287,0.00160863691539851,2.99884024306199,"30min-10min"
"31",-0.0208116601995032,0.0120638871973291,2.61625611052418,-0.0240547583700653,-0.000176562530685665,3.14893254689681,"30min-10min"
"32",-0.0124822346436385,0.004708904029543,2.78085217304462,-0.0133005723141527,0.00103669425304222,3.06380633941037,"30min-10min"
"33",-0.00615133528181164,0.0034514454565118,2.63027583374499,-0.00582914711662041,0.00397145381206084,2.54352103567873,"30min-10min"
"34",-0.00678118180405612,0.000306490532291519,3.09642617698648,-0.00664064062732479,-0.00140721539387883,3.35041307201165,"30min-10min"
"35",-0.010923824378809,0.00334585756382234,2.84437530410764,-0.0112396040593162,-0.00204841462752319,3.32186384497931,"30min-10min"
"36",-0.0188587266209902,0.0051753023063922,2.87376127890522,-0.0195287485903078,0.0010311654689443,3.08883920989989,"30min-10min"
"37",-0.0156277115037386,0.00912330529799533,2.61317737572629,-0.0180506295336546,0.00127860855748336,3.07087620118697,"30min-10min"
"38",-0.0238589734983443,0.0107780754346682,2.71729189280654,-0.0256050141309936,-0.00545900886807412,3.35164844918379,"30min-10min"
"39",-0.0323756510393099,0.0115557143637233,2.79876097707806,-0.0310641663832689,-0.0147219184071818,3.58415914047551,"30min-10min"
"40",-0.0043973028808537,0.00169214155374452,2.77424623793623,-0.00464431121014478,-0.000793718493671867,3.31085859515905,"30min-10min"
"41",-0.0237723508407122,0.0079968925017436,2.81708941663508,-0.02508129538583,-5.97992232171263e-05,3.14397686497076,"30min-10min"
