"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-0.0204864209572364,-0.0011335682891372,3.19686895239228,-0.0195707973094928,-0.00616135645568265,3.44659334633076,"30min-10min"
"2",-0.029147357067009,0.0118647134898151,2.75501520979969,-0.0306819352311655,-0.00699704942512773,3.36580928305857,"30min-10min"
"3",-0.0111332028126105,0.0020645313396038,2.9582363316391,-0.00972249361964087,-0.00580375846628428,3.67976011136388,"30min-10min"
"4",-0.013363425850797,0.000738344395859,3.08639764105023,-0.0132751685781883,-0.00170182318039469,3.26909320669457,"30min-10min"
"5",-0.00458840801824982,-9.65659213751201e-05,3.1626351737488,-0.00361273410995487,-0.00283036488281615,3.80615492057979,"30min-10min"
"6",-0.0139282865308218,-0.00383313789762433,3.41014969518491,-0.0110465385874785,-0.00930935535159245,3.84185654251185,"30min-10min"
"7",-0.0414655303944738,0.0025174940644565,3.08095415091507,-0.0363207302372011,-0.0201626521642384,3.64836433601001,"30min-10min"
"8",-0.0371619315576869,-0.003447929791712,3.23410902091077,-0.0277061423036856,-0.0250053405414665,3.87579813784953,"30min-10min"
"9",-0.0204927419222334,-2.85139765630014e-06,3.14173179542102,-0.0191958648740557,-0.00717434675484286,3.49926205850916,"30min-10min"
"10",-0.0299259967920855,-0.0022508729709645,3.21666593381524,-0.0278021253855971,-0.0112992715329293,3.52761912484166,"30min-10min"
"11",-0.0113830599774846,-0.004946120574823,3.55149566735024,-0.0113425552065035,-0.00503831366422519,3.55960920644725,"30min-10min"
"12",-0.011582259892835,-0.0147621555919147,4.04711441620251,-0.0164289884025005,-0.00906412279349614,3.64575177089031,"30min-10min"
"13",-0.0185570463337926,0.0001085022224077,3.13574576481071,-0.0185004649034311,0.00145208116980617,3.06326433597521,"30min-10min"
"14",-0.00743137160922832,-0.0084666893703101,3.99202125763474,-0.0104457246343331,-0.00421864311733672,3.52542487838269,"30min-10min"
"15",-0.0307276036355331,-0.0082402846967796,3.40359996597788,-0.0288989080771178,-0.0133019182457533,3.57297185865552,"30min-10min"
"16",-0.0236980103252717,0.000702808574318901,3.11194448370465,-0.0229344126835663,-0.00600852295732436,3.39782119701461,"30min-10min"
"17",-0.00875332234838107,-0.000544922586699081,3.20376564969939,-0.00775886644777851,-0.00408871424847705,3.62658520477377,"30min-10min"
"18",-0.0123958822778076,-0.0015794741818037,3.26832897796901,-0.0113722238190104,-0.00517930126045802,3.56895657983667,"30min-10min"
"19",-0.0086754308458398,0.00138192053748919,2.98362849133184,-0.00711162136392783,-0.0051572905976887,3.76902665472928,"30min-10min"
"20",-0.0071848768884551,-0.0114991362595425,4.15391995365134,-0.00955723605420691,-0.0096183070039352,3.93017564169129,"30min-10min"
"21",-0.0112175793309667,-0.0045566436662632,3.52743722154404,-0.0119690407062045,-0.00182733470416523,3.29309455557785,"30min-10min"
"22",-0.0124409051523471,-0.0032342435798609,3.39593121617873,-0.0127719939287967,-0.00145348671350884,3.25490779536411,"30min-10min"
"23",-0.00920438830017047,-0.00241326206194687,3.39800723477819,-0.00882036020146244,-0.0035701321651172,3.52619604058312,"30min-10min"
"24",-0.0103394521576882,-0.00412778826393723,3.52143245691582,-0.00865131168783431,-0.0070069760205785,3.82236054943438,"30min-10min"
"25",-0.0129787202366285,-0.0067816470119577,3.62309389625802,-0.0131669417762156,-0.00640855361506894,3.59455623094221,"30min-10min"
"26",-0.0595857752287778,0.00874781946510818,2.99582343841928,-0.0485384684699166,-0.0356511715600408,3.77509527361685,"30min-10min"
"27",-0.0100662248747935,-0.0141175484709047,4.09297197782523,-0.0147391394995013,-0.00913191244332177,3.69627692220301,"30min-10min"
"28",-0.0284201889792389,0.00821444870068599,2.86022497119531,-0.026294205124279,-0.0135572521535226,3.61764103241071,"30min-10min"
