"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-0.0145600407959858,-0.0061174804855648,3.53935277779238,-0.014286513611807,-0.00673155883073828,3.58192185563753,"30min-10min"
"2",-0.0239835702197825,0.00700404001581104,2.85745919550741,-0.023623162478668,-0.00813722382245779,3.47332315522947,"30min-10min"
"3",-0.0092006701023202,0.00268077136485926,2.85807476755773,-0.00933424672445332,-0.00217041551998936,3.37005478404965,"30min-10min"
"4",-0.00971400285263059,0.00303187424920381,2.83905967330869,-0.0101717712898278,0.000298633071403985,3.11224208082559,"30min-10min"
"5",-0.0125476284534552,-0.00072854690579503,3.1995900556096,-0.0101692876530917,-0.00738643005981781,3.76978309987527,"30min-10min"
"6",-0.0221701338785373,-0.00540517460665284,3.38073164982523,-0.0183266755587713,-0.0135964595275464,3.77988601825833,"30min-10min"
"7",-0.0237264830589043,-0.002072226212782,3.22870970540018,-0.0211423032082945,-0.0109655430722766,3.62005196284345,"30min-10min"
"8",-0.0283502278229079,0.00052947525000303,3.12291859898887,-0.0228129898515709,-0.0168399303942526,3.77748133518226,"30min-10min"
"9",-0.0453090461033639,0.00562719193349221,3.01802959308904,-0.0382695539550928,-0.0249001242553397,3.7184253959864,"30min-10min"
"10",-0.0128443952953988,-0.0046558729277641,3.48934447735687,-0.0117727413293052,-0.00693240252850466,3.67377478288113,"30min-10min"
"11",-0.0224214406619571,-0.019435627854976,3.85577790340544,-0.025227434858669,-0.015621816857408,3.69603864947298,"30min-10min"
"12",-0.0175309825611637,-0.008143098284684,3.57643711682471,-0.0191906220624469,-0.00231633850941032,3.26171314817217,"30min-10min"
"13",-0.0160792063972695,-0.0048218479420253,3.43294023870597,-0.0167753323898253,0.000615888912779024,3.1048951742141,"30min-10min"
"14",-0.0136704026442027,-0.0147032194227035,3.96337534965074,-0.0189216359335498,-0.00671090630578217,3.48242033331508,"30min-10min"
"15",-0.0195924042479445,0.0041392700973778,2.93338524984909,-0.0198004078116405,-0.00298993505726241,3.29146408073787,"30min-10min"
"16",-0.0187346948387335,0.0011111559091288,3.08235199002643,-0.0184724434023892,-0.00331546269778264,3.31918336307313,"30min-10min"
"17",-0.0109304068536966,-2.98051604399972e-06,3.14186533474522,-0.0090118707547225,-0.00618546589764991,3.74311138141607,"30min-10min"
"18",-0.0154116700048103,0.00336552541657171,2.92659273443061,-0.014592139477429,-0.00599297915381149,3.5312882664101,"30min-10min"
"19",-0.011878914192638,0.00235954805368742,2.94551156277844,-0.0105732623859413,-0.00590611479161684,3.6510066670715,"30min-10min"
"20",-0.0140349361987024,-0.00536076473577105,3.50645002364203,-0.0118847832607232,-0.00919071050025891,3.79985069345174,"30min-10min"
"21",-0.0173227585887583,-0.000326584452427198,3.16044333294982,-0.0171094041604849,0.00273000216156506,2.983364976962,"30min-10min"
"22",-0.00535483751381322,-0.0185200776878011,4.43092790313222,-0.0134951833171567,-0.0137676283214599,3.93698376779338,"30min-10min"
"23",-0.0120956965966252,-0.00304820972912357,3.38846010386229,-0.0115017624548632,-0.00482772401264114,3.53899770714768,"30min-10min"
"24",-0.0176107333113285,-0.0055032783737087,3.44447360142205,-0.0164520700743804,-0.0083518495489885,3.6113393988682,"30min-10min"
"25",-0.0184747705974543,-0.0063251988431058,3.47145363583239,-0.0169523257503773,-0.00969246824531721,3.66097997491738,"30min-10min"
"26",-0.0379443471032447,0.00969045368155993,2.89155130659801,-0.0355191533192799,-0.016494487476956,3.57634281831036,"30min-10min"
"27",-0.0122339192439528,-0.0015528837966422,3.2678501108083,-0.0120672323348332,0.00254207236926644,2.93396927650592,"30min-10min"
"28",-0.0223181307680085,0.00952592470383994,2.73817766521225,-0.0228748074735458,-0.00809848044322944,3.4818575169862,"30min-10min"
"29",-0.0105167963915925,-0.0127122517205449,4.02122425109526,-0.0143857874358198,-0.00807796199546146,3.65324023852278,"30min-10min"
"30",-0.0161312698139526,-0.00191423782024933,3.25970658825733,-0.0118945649424762,-0.0110635210069954,3.8908083039845,"30min-10min"
"31",-0.04747784101435,0.0101792354888504,2.93039032898989,-0.0441358396122092,-0.0202432676277006,3.57162342292066,"30min-10min"
