"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-0.0110878663973104,0.0011232860488178,3.04062943426439,-0.0109565742227439,0.00203863535081126,2.95763129480585,"30min-10min"
"2",-0.0201053957873396,0.00679600137336746,2.81563114038424,-0.0199462868788803,-0.00724970442002937,3.49020907721246,"30min-10min"
"3",-0.0138104637656734,0.00771190040420423,2.63231560305039,-0.0156655967060144,0.00218892601790343,3.00276327286924,"30min-10min"
"4",-0.00841093437590243,0.006643809280501,2.47303976678564,-0.0106423751833839,0.00127431129929215,3.02242066573619,"30min-10min"
"5",-0.0130662153966038,0.00401738688179706,2.84330257506592,-0.0136698691309852,7.75178814596718e-06,3.14102558251978,"30min-10min"
"6",-0.0286742620004829,0.00820344917266991,2.86294471777948,-0.0287421787847036,-0.00796222571326943,3.41183804696287,"30min-10min"
"7",-0.0143302542536709,-0.0010841221226439,3.21710149766809,-0.0143530991026556,-0.000721147627746475,3.19179377879688,"30min-10min"
"8",-0.0171540666976825,-0.0034869165772215,3.3421309863199,-0.0168839668810864,-0.00462084990487912,3.40873378363223,"30min-10min"
"9",-0.0268656037336961,0.0015331758706246,3.08458612895475,-0.0256675994115956,-0.00807995251669898,3.44656415630804,"30min-10min"
"10",-0.0152711556641824,0.0012411365701708,3.06049763588578,-0.0148661605389125,0.00370754448884781,2.89718358574752,"30min-10min"
"11",-0.0229177341171741,-0.0061230105717377,3.40266814318919,-0.0209802614485557,-0.0110698882143111,3.62710187421169,"30min-10min"
"12",-0.0141299221929143,0.0113670957946952,2.46413215505956,-0.0164682801122556,0.00759350499623705,2.70954735134835,"30min-10min"
"13",-0.0117594420935127,0.00312171655517639,2.88211278219295,-0.0121258066132761,-0.000997199367715278,3.22364578545751,"30min-10min"
"14",-0.0151976025682209,-0.0083726435679697,3.64514093273008,-0.0171408980576374,-0.00269404861046378,3.29748812149432,"30min-10min"
"15",-0.0113514926610632,0.0031676758901272,2.86946168087846,-0.0117534467262112,0.000864318363325226,3.06818734433008,"30min-10min"
"16",-0.0234903917110834,0.0046910898124303,2.94448317345092,-0.023954223215078,4.06578915627953e-06,3.14142292196958,"30min-10min"
"17",-0.0145529660903506,0.0062132786678238,2.73807790379172,-0.0155992748391686,0.00265636562299098,2.97292282911879,"30min-10min"
"18",-0.0163861853042504,0.0056126977880144,2.81159146085713,-0.0173207701524731,-1.91470627236611e-05,3.14269809259487,"30min-10min"
"19",-0.0100875618222231,-0.001060296737255,3.246317435302,-0.0100708285346678,0.00120894388353194,3.02212022095009,"30min-10min"
"20",-0.0203034436057696,-0.0049027867739529,3.37853242631815,-0.0174448064366572,-0.0114867692930204,3.72389465980489,"30min-10min"
"21",-0.0126563510557592,0.0098724120818434,2.47914384847687,-0.0125245364755533,0.0100391099422648,2.46590401130892,"30min-10min"
"22",-0.0218587706413235,0.0070989407918302,2.82757426448792,-0.0229515458031396,0.00119472154173335,3.0895855156091,"30min-10min"
"23",-0.0211317994368569,-0.0005865672902346,3.16934309268515,-0.020912899095408,-0.00308992880998932,3.28828363392569,"30min-10min"
"24",-0.012589799133531,-0.0001068323590761,3.15007807848557,-0.0125707708846647,0.000700124803780786,3.08595547350429,"30min-10min"
"25",-0.025114334860618,0.00819059386435,2.82633703833828,-0.0250016869860108,-0.00852826425455497,3.47032361138028,"30min-10min"
"26",-0.0176538471689479,0.000583702453799999,3.10854094060316,-0.0174694099554392,-0.00261127253038548,3.28997093272951,"30min-10min"
"27",-0.00686755375112708,0.00835429163652089,2.25883197909603,-0.0102667760379952,0.00339864576828915,2.82191346636513,"30min-10min"
"28",-0.017737269227352,0.00772839492171104,2.73068139178643,-0.0191557998695179,-0.00271921662772129,3.28260319692235,"30min-10min"
"29",-0.0192912995338834,0.0044455623047441,2.91510270880429,-0.0197553502530068,-0.00128195097113597,3.20639313065927,"30min-10min"
"30",-0.0115887925429323,0.0061025896438238,2.65689681922045,-0.0121116394745377,0.00498496762304928,2.75113938007774,"30min-10min"
"31",-0.0268931251995741,0.0088194963213133,2.82469839301612,-0.0283020463650115,-0.000133678399022862,3.14631589526708,"30min-10min"
"32",-0.0174783340940479,0.0028510896871054,2.97989543104251,-0.0176589659828813,-0.0013348391373188,3.21703905691282,"30min-10min"
"33",-0.0108894766683454,0.0013073342841372,3.0221096750049,-0.0109322595053888,0.000880640191995121,3.06121194623221,"30min-10min"
"34",-0.0107967307161148,0.00562157431886624,2.66154315950876,-0.0120832387017551,0.00147201713822891,3.02036693437694,"30min-10min"
"35",-0.0118915802390938,0.00270569461603574,2.91787116052895,-0.011947599502104,-0.00244649342434731,3.34356918889941,"30min-10min"
"36",-0.0121361223681447,-0.0024079890892859,3.33746374078072,-0.0120228700278747,-0.00292138218683111,3.3799585459728,"30min-10min"
"37",-0.00849663805897356,0.00272849322116213,2.83086844028896,-0.00891573569490373,-0.000383654247656988,3.18459726050515,"30min-10min"
"38",-0.0160146982796883,0.0052344185914942,2.8256875880749,-0.0167705818198567,0.001617802337718,3.04542354842587,"30min-10min"
"39",-0.0262248404019558,0.0129297316951004,2.68353355011446,-0.0288630936655051,-0.00467354681923896,3.30212059916905,"30min-10min"
"40",-0.00652664216195553,0.00195581444333476,2.85044207123542,-0.00670732566913296,-0.0011975184404269,3.31826997073517,"30min-10min"
"41",-0.0128071356961514,-0.0011406784281495,3.23042410667742,-0.0128084771707348,0.00112551525216133,3.05394510145319,"30min-10min"
"42",-0.0185331202556968,0.000306173132787399,3.12507383326035,-0.0185331552567764,0.000304047081194554,3.1251885494848,"30min-10min"
"43",-0.00885234602939039,0.0029239501457853,2.82257251621172,-0.00768215794325204,0.00528185232792732,2.53927271416569,"30min-10min"
"44",-0.020655353189981,0.013543554658231,2.56122626552516,-0.0246854593741035,0.000836411186459317,3.10772286343958,"30min-10min"
"45",-0.0186470175283884,0.00672423971207877,2.79550007194781,-0.0194435695336582,-0.00385671702349522,3.33740537919187,"30min-10min"
"46",-0.0184805954647475,0.0048468922420106,2.88510019355566,-0.0186347302785521,0.00421563762471608,2.91911276101428,"30min-10min"
"47",-0.0111280304737452,0.0043354476418221,2.7700863959094,-0.0117242956965717,0.00227377635200396,2.95003350746266,"30min-10min"
"48",-0.0153345215036147,0.0078251533991736,2.66974177654507,-0.0169401101583374,0.00306810092546057,2.96242032523392,"30min-10min"
"49",-0.0186218153700591,-0.0054311736997913,3.42537740333361,-0.0181898776746426,-0.00673780421319975,3.4963375837096,"30min-10min"
"50",-0.022437338741123,0.0078154393012401,2.80641267451019,-0.0237595138099421,-2.76544832031808e-05,3.14275658610694,"30min-10min"
"51",-0.0119183468854537,0.00812922278137149,2.54299752863334,-0.0142993495714972,0.00191307536268053,3.00859483648222,"30min-10min"
"52",-0.0208079610919462,0.004056470225422,2.94905947978607,-0.0211951816587226,-0.000436428628106529,3.16218068019174,"30min-10min"
"53",-0.014090906292087,-0.0025087489968395,3.31778673409958,-0.0143094303250264,-0.000296083492844448,3.16228119548935,"30min-10min"
"54",-0.0153539560691519,0.0032168618388435,2.93506640880757,-0.015624890012625,-0.0013982056919586,3.2308407302012,"30min-10min"
"55",-0.0168735349349685,0.000844929971441002,3.09156017174329,-0.0168769299438861,0.000774159884907474,3.09575389073747,"30min-10min"
"56",-0.00504870757455758,-0.0020596006038682,3.5289302990467,-0.00544867059994321,0.000208306298905812,3.10338059831996,"30min-10min"
"57",-0.0158869722369446,0.00498251825816238,2.83768511733492,-0.0164783975137506,-0.00238407013931808,3.28527419938385,"30min-10min"
"58",-0.0232389138961161,0.00628601259033946,2.87741940694347,-0.0226373515030853,-0.00819215419061217,3.48881737863258,"30min-10min"
"59",-0.0119882687233912,-0.0073369436003897,3.69079646397385,-0.0125210002927788,-0.0063854428231543,3.61319127802807,"30min-10min"
"60",-0.0139739720365035,-0.0001564477996679,3.15278784299041,-0.0136977424433497,-0.00276915552951791,3.34106566812584,"30min-10min"
"61",-0.0173069012425468,-0.0060042224117987,3.47552675518304,-0.0179323255083093,-0.00374315632236385,3.34737576810967,"30min-10min"
"62",-0.00966254604586716,0.0032798677063819,2.81435499098078,-0.00964496184136823,0.00333122189870636,2.80903539494362,"30min-10min"
"63",-0.0197377555701167,0.0021354161277135,3.03382242089831,-0.019053364181505,-0.00557748243844052,3.4263660222354,"30min-10min"
"64",-0.0153235894610762,0.00454594777581659,2.85319978655455,-0.0159189293204586,-0.00143726282993017,3.23163491991429,"30min-10min"
"65",-0.0107694331405465,-0.00685092177620549,3.70816628637831,-0.0111747999452312,-0.00616763046367464,3.64591114996246,"30min-10min"
"66",-0.0238908796688203,0.0050158251586654,2.93465095494156,-0.0235923811997402,-0.00627153750674396,3.40141276527272,"30min-10min"
"67",-0.0126056399907324,0.0090967780039052,2.51648806282959,-0.014065384233709,0.00661955406250412,2.70171807413618,"30min-10min"
"68",-0.0188658336288734,0.0121338990587399,2.57003530159736,-0.0224109729860973,0.000948406398353223,3.09929904837759,"30min-10min"
"69",-0.0325292464139332,0.00760311226336297,2.91198306673665,-0.0306026743648632,-0.013395354047797,3.55418640394149,"30min-10min"
"70",-0.00597714459916395,0.00056699151780475,3.04701572668435,-0.00596700295121984,0.000665291455462207,3.03055616471545,"30min-10min"
"71",-0.0259656413936087,0.0088845131298587,2.81191547790128,-0.0274218344795947,-0.001091833462497,3.1813878408607,"30min-10min"
"72",-0.0174471424812216,0.0029714448836244,2.97289999117846,-0.0174028033502616,0.00322097826887888,2.95857978981189,"30min-10min"
"73",-0.00302334344736658,0.00517834846992257,2.09925109591358,-0.00353539741886506,0.00484322863050735,2.20135260233843,"30min-10min"
"74",-0.0227392091599587,0.0124347779515132,2.64117645353249,-0.0253814822113866,-0.00524172649771585,3.34524734982734,"30min-10min"
"75",-0.0239275008408939,0.0036612218665506,2.98975718723459,-0.0236180004777295,-0.00530281957839959,3.36245445528348,"30min-10min"
"76",-0.00413757697725748,-0.00156120930315832,3.50239971203557,-0.00416338504708019,-0.00149102068421211,3.48548915489844,"30min-10min"
"77",-0.0295906427253115,0.0059521805238869,2.94309083085935,-0.0299664092762192,-0.00361232680914889,3.26155966363523,"30min-10min"
"78",-0.00480373174591375,-0.001364351275656,3.41832430846137,-0.00496671463500795,-0.000518689526095834,3.24564858407305,"30min-10min"
"79",-0.0112114170919502,0.0052973995825879,2.7001857031359,-0.0100503411958706,0.00726284774684564,2.51582858163276,"30min-10min"
"80",-0.0108563988561034,0.00724797095350273,2.55292894195296,-0.0127734986984886,0.00268927686661875,2.93408748795643,"30min-10min"
"81",-0.0144884762495039,0.00499226517647603,2.80976521125889,-0.0146527027159473,-0.00448742228264329,3.4387754853746,"30min-10min"
"82",-0.0114093092656269,0.0017644528729438,2.98815788660081,-0.0115446943972881,7.52537891771038e-05,3.13507427200623,"30min-10min"
"83",-0.0147731579891709,0.0036413445311867,2.89992605700628,-0.0147372171710729,0.00378417983458019,2.89024578779792,"30min-10min"
"84",-0.011465326388951,0.0088115047373721,2.48633428667122,-0.0123662382437173,0.00749482999417145,2.59672044946678,"30min-10min"
"85",-0.0141133045288308,0.00719966700368308,2.66987128422503,-0.0156169370739667,0.00267055164997827,2.97222729826752,"30min-10min"
"86",-0.0182808162024509,0.0015724028676591,3.05579001601097,-0.0182973023319025,0.00136726704815392,3.06700621176739,"30min-10min"
"87",-0.0146347445056333,0.0048431676507644,2.82200101202362,-0.0149937239650606,0.00358053924683722,2.90718023053245,"30min-10min"
"88",-0.0125443363170405,0.0053169361042987,2.74069517506657,-0.0129606445480274,0.00420141358020198,2.82811433663024,"30min-10min"
"89",-0.0121629512816097,-0.0023956064881906,3.33606277044807,-0.0119293132929002,-0.00337161662780733,3.41704118815469,"30min-10min"
"90",-0.0131866402737642,0.00592075677913925,2.71957346072214,-0.0144036897907507,-0.00121513906990385,3.22575640405026,"30min-10min"
"91",-0.0100189074472983,0.00770904228413176,2.48575968896812,-0.0125134911429163,0.00179454138771291,2.99915527995856,"30min-10min"
"92",-0.0185177709159662,0.0087198197677465,2.70150363703555,-0.0197822178058762,0.0052542321188791,2.88198283192155,"30min-10min"
"93",-0.0127607500555303,-0.00121415109351489,3.23645439402087,-0.0113379441873618,-0.00598012762922901,3.62695344383717,"30min-10min"
"94",-0.0168562525495963,0.00541011917781085,2.83102254746153,-0.016278023636186,-0.0069590650258247,3.54558981972053,"30min-10min"
"95",-0.0136934651144551,0.0028208020842885,2.93843819977097,-0.013894629125267,-0.00155151303919921,3.25279479175022,"30min-10min"
"96",-0.00736888243881749,-0.0055452629432865,3.78670734434955,-0.00798648971569881,-0.00461154545985794,3.6652424644324,"30min-10min"
"97",-0.0219830404701471,-0.000810565368290904,3.17844826187032,-0.0219906361299707,0.000568337160166112,3.11575389797615,"30min-10min"
"98",-0.00481411733000835,-0.0020597379762655,3.54587793674462,-0.00521846015072359,-0.000431184245151587,3.22403210431118,"30min-10min"
"99",-0.0171863843168878,0.00423178597175693,2.90016631778734,-0.0166630043054096,-0.00596859329460713,3.48554879164077,"30min-10min"
"100",-0.0103033725652325,0.00052751275819132,3.09043925061201,-0.00996780323315538,-0.00266094994938589,3.40246375212527,"30min-10min"
"101",-0.00507466700367704,-0.004698630941607,3.88853392469066,-0.00633696469650374,-0.00276988381685955,3.55366685081605,"30min-10min"
"102",-0.0151353934948122,0.00269205662608075,2.96556848821443,-0.0139708799542476,-0.00641418883607526,3.57199765267684,"30min-10min"
"103",-0.0167995252823089,0.00846822485883896,2.67469016415156,-0.018460087510969,-0.00362767846675514,3.33563472350766,"30min-10min"
"104",-0.013274554010312,0.00573448597248668,2.73381561940128,-0.0134438949882587,-0.00532539210631565,3.51874950455021,"30min-10min"
"105",-0.0156014901741967,0.00129128615820117,3.05901402704081,-0.0143331171977768,-0.0062956863797931,3.55546308741868,"30min-10min"
"106",-0.0131894892295052,0.00698737725935515,2.65441474468972,-0.0148663079751627,-0.00133377445147233,3.2310710220343,"30min-10min"
"107",-0.0192968490294567,0.00058758815532429,3.11115210593648,-0.0175649420445637,-0.00801164485465009,3.56952069819377,"30min-10min"
"108",-0.0135194684279846,-0.0005173047050211,3.17983768265347,-0.0132878045477829,-0.00254516817382058,3.33084212604212,"30min-10min"
"109",-0.019278776471329,0.002855588846445,2.99454100569167,-0.0189623378402471,-0.00450059479666218,3.37462466298728,"30min-10min"
"110",-0.0076971928393099,-0.0027284803930687,3.48225060703363,-0.00775556101243333,-0.00255786165445046,3.46016887230234,"30min-10min"
"111",-0.00876572473559457,-0.0020423270944377,3.37049905235681,-0.00898791021846162,0.000475920167425297,3.08869091071055,"30min-10min"
"112",-0.0133142480023098,0.0004507589461252,3.10775019801942,-0.0131204776156698,-0.00230769379061216,3.3156967884575,"30min-10min"
"113",-0.0130136952076109,-0.0058783771188361,3.56586520864458,-0.0135037699057474,-0.00464325089139932,3.47277680951333,"30min-10min"
"114",-0.0174924011447801,0.00173378561355276,3.04279882786766,-0.0164348868309057,-0.00623575217748339,3.50423420839112,"30min-10min"
"115",-0.0207877585854247,0.0019968401449896,3.04582801641124,-0.0208832709513507,8.52756882956129e-05,3.13750923128867,"30min-10min"
"116",-0.0301152737415957,0.00597935160596611,2.94559286241208,-0.0258108350675556,-0.0166277825122429,3.71389185112341,"30min-10min"
"117",-0.0176544193674807,0.00625473282180703,2.80110371941209,-0.0186478570360612,-0.00174860911517959,3.2350892371205,"30min-10min"
"118",-0.0249727612027717,0.00709921166873832,2.86462119712886,-0.0226783095034757,-0.0126385080793887,3.65001936052631,"30min-10min"
"119",-0.0239475453038614,0.00424742264084262,2.96605455384094,-0.0219160533720685,-0.0105457161806622,3.59007676829654,"30min-10min"
"120",-0.011126056794447,-0.0012166598037599,3.25051217028844,-0.0111915591172786,0.00013566648740568,3.12947103217324,"30min-10min"
"121",-0.0100742110884537,0.00417394538526606,2.7488028736189,-0.0108406235175232,0.00118001308688996,3.03316849711685,"30min-10min"
"122",-0.017724688649019,0.00102552556713604,3.08379849286416,-0.0166492381867533,-0.00616596774190934,3.49627629254178,"30min-10min"
"123",-0.0130121528359519,0.00147647463059102,3.02860700672253,-0.0129244181301793,-0.00211080902907959,3.30348283518544,"30min-10min"
"124",-0.0105548978481812,0.0019249146814325,2.96120339883356,-0.0107289860445459,-4.85512862202385e-06,3.14204517801945,"30min-10min"
"125",-0.00817289546743956,-0.006396390659476,3.80565487239583,-0.00911306849498258,-0.00496608662792765,3.64054366662725,"30min-10min"
"126",-0.0037869388564285,-0.0075259221624882,4.24619580109284,-0.00711410397353473,-0.0045133064323062,3.70693489491701,"30min-10min"
"127",-0.0154295313194276,0.0001632180644013,3.13101475764566,-0.0152053464852025,-0.00262574087424567,3.31259158937517,"30min-10min"
"128",-0.0230483968209671,-0.000935011440715299,3.18213773078922,-0.0211850685019854,-0.00912664861694702,3.54837050002875,"30min-10min"
"129",-0.0138840180668542,0.00153324794305726,3.03160573806659,-0.0137175730002706,-0.00263533639558061,3.33139405010872,"30min-10min"
"130",-0.0160112057473782,0.0021751152988412,3.00656966326357,-0.016133576612043,-0.000893051931003611,3.19688984620122,"30min-10min"
"131",-0.0211107253710753,0.00339544304300449,2.98211874437579,-0.0173284778664954,-0.0125265962648131,3.76751690777324,"30min-10min"
"132",-0.0187188420633634,0.00497540861770302,2.88180253891272,-0.0184257885735957,-0.00596992919115509,3.45491852909973,"30min-10min"
"133",-0.0180088210109511,0.00474741394215838,2.88384052146533,-0.016091088049618,-0.00937723086641854,3.66923868486278,"30min-10min"
"134",-0.0201063005933671,0.00549407151052662,2.87485297942393,-0.018584036132625,-0.00943831268473882,3.61151805893628,"30min-10min"
"135",-0.00714835719551141,-0.0033908067255678,3.58450862935472,-0.00776361535353629,-0.00152409234861644,3.33543974262755,"30min-10min"
"136",-0.0065892593296366,0.00033863266814224,3.09024621204497,-0.00659691456810806,-0.000117169869078232,3.15935209995391,"30min-10min"
"137",-0.0123253616915995,0.0040850626529592,2.82155110316129,-0.012964760582932,0.000719208408324288,3.08617535491973,"30min-10min"
"138",-0.0216526733234459,0.00359457812870001,2.97708216166865,-0.0208122849810287,-0.00697194720602783,3.46483518821098,"30min-10min"
"139",-0.0240171621281222,0.00694914810696783,2.85994327769964,-0.0237763971061586,-0.00773289575458844,3.45603629790786,"30min-10min"
"140",-0.011656646515527,0.001028786035695,3.05356328357828,-0.0115025190284601,-0.00215124724174182,3.32648074033468,"30min-10min"
"141",-0.0119330626009219,-0.00502517388995684,3.54016680990501,-0.0110896592739453,-0.00668354792379201,3.6839825338992,"30min-10min"
