"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-0.0113011087200395,-0.0105689820184329,3.89352715159435,-0.0132228573836965,-0.00803582489969344,3.68767095378374,"30min-10min"
"2",-0.0202914949758494,0.0044926464134435,2.92370223271761,-0.0206124416260708,-0.00265629259739472,3.26975471404385,"30min-10min"
"3",-0.00712059709727881,-0.00381342032494779,3.63327248350281,-0.00654753514393159,-0.0047302073036476,3.76722140631702,"30min-10min"
"4",-0.00591354555683495,-0.0025243887671159,3.54505666511754,-0.00631795901896672,-0.00119413296368556,3.32839518109801,"30min-10min"
"5",-0.00879171357161167,-0.00202911009367558,3.36841883603226,-0.00743258231907662,-0.00511548974856431,3.74439047172316,"30min-10min"
"6",-0.0143719823119975,-0.00775317559950039,3.63631129482038,-0.0131096761757081,-0.00973663175955254,3.7804090685754,"30min-10min"
"7",-0.0286149502305911,0.00205836279114495,3.06978321448295,-0.024844700127815,-0.0143454909165955,3.66523358835675,"30min-10min"
"8",-0.0213264010713266,-0.00448968933466488,3.34908531890077,-0.0152224497239625,-0.0155964649000445,3.9391261183311,"30min-10min"
"9",-0.0467059652327713,0.00625229734344298,3.0085187082396,-0.0406362492170928,-0.0238586181486269,3.6724925531298,"30min-10min"
"10",-0.0131000274525339,-0.0100031341048767,3.79373883616744,-0.011257807325967,-0.0120389029977276,3.960506415197,"30min-10min"
"11",-0.00567078540745637,-0.0189732324562943,4.42195684694949,-0.0138410865249594,-0.0141621213378006,3.93845453040096,"30min-10min"
"12",-0.0107836942388599,-0.0141464537681079,4.06106882801818,-0.0158838641292363,-0.00800706412952916,3.60851529323867,"30min-10min"
"13",-0.00986457457611032,-0.0080055181384949,3.82333197894354,-0.0122934946084818,-0.00320439425549375,3.39657668531235,"30min-10min"
"14",-0.00870888320962557,-0.0143209490156188,4.16601886272472,-0.0146677379367117,-0.00811120775759071,3.64673352982993,"30min-10min"
"15",-0.0152337283002643,-0.0069512400934038,3.56967817756926,-0.0147278230052639,-0.00796727345382586,3.6374746777258,"30min-10min"
"16",-0.0234258781732393,-0.0016886064787296,3.21355114798873,-0.0224064327152739,-0.00704094688258345,3.44605987885465,"30min-10min"
"17",-0.0141141319416989,-0.00104609758182317,3.21557441553533,-0.0114733022146869,-0.00828651777943188,3.76709166779974,"30min-10min"
