"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-0.0116408519977603,0.004013898627217,2.80954764049706,-0.0117998898164212,0.00351900806245922,2.85176618959491,"30min-10min"
"2",-0.0195048156274468,0.00854045484401977,2.7288768066323,-0.0207916677638525,-0.00459170482511805,3.35894738200055,"30min-10min"
"3",-0.0107028608500198,0.0041779727558151,2.76942382109165,-0.0109273159357122,0.00354971170158248,2.82749865545254,"30min-10min"
"4",-0.00866792490934457,0.00508312533554561,2.61121135655877,-0.0100476622214428,0.000124776979819574,3.12917478331098,"30min-10min"
"5",-0.00833804899472699,0.00068627735054648,3.05947105472726,-0.00835975555651497,-0.000329430835924511,3.18097902904876,"30min-10min"
"6",-0.0233867557815108,0.00550670536116058,2.91034238737905,-0.0231511999075032,-0.00642542549264149,3.41232040857884,"30min-10min"
"7",-0.0169746269282509,0.0048398150044337,2.86384200400257,-0.0176477640913322,0.000343789480832064,3.12211449192675,"30min-10min"
"8",-0.00885152193528487,-0.0015672434508048,3.31683563630877,-0.00875347766792267,-0.00204507244910755,3.37110564219497,"30min-10min"
"9",-0.0150530743215113,-0.0041087161800013,3.40805073400344,-0.0152531705276274,-0.00328897917777952,3.35396701743881,"30min-10min"
"10",-0.0109328143743692,-0.0025813202016558,3.37345395740702,-0.0112318419825577,-0.00018806862243221,3.15833532584668,"30min-10min"
"11",-0.00528902655222595,-0.007998681683606,4.1281546051013,-0.00770132847210388,-0.00571333968100685,3.77986646716585,"30min-10min"
"12",-0.00798206090646254,0.0056303803282979,2.52726555441032,-0.00630772625936772,0.00745835560915705,2.27280395309978,"30min-10min"
"13",-0.0142890824607568,0.00641563590001547,2.71958008191175,-0.0154988250579328,-0.00226377635721146,3.28662822626969,"30min-10min"
"14",-0.00895140303327183,-0.0017819575513719,3.33809401094894,-0.00884076887880771,0.00226799352081626,2.89047006999473,"30min-10min"
"15",-0.00999896949904634,0.000669537295228402,3.07473183309876,-0.00984439629177774,0.00187497543530403,2.9533856233517,"30min-10min"
"16",-0.0224753030294356,0.0077298071940803,2.81034053234174,-0.0237586830287215,-0.000643541967050008,3.16867263315126,"30min-10min"
"17",-0.0112002319847751,-0.000657569724542201,3.20023570284803,-0.0112107901063151,-0.000442469939726403,3.18104039981649,"30min-10min"
"18",-0.0161480905427888,0.0065343869385744,2.7570807899019,-0.017387165383061,0.00107029004629758,3.08011389918608,"30min-10min"
"19",-0.0128582381760087,0.0039300898783331,2.84496264502789,-0.0130492147309504,0.00324004480652524,2.8982200583041,"30min-10min"
"20",-0.0132979734558913,-0.0050265885965589,3.50298787800693,-0.0121591889151152,-0.00736592260882409,3.68625908854354,"30min-10min"
"21",-0.0106465939969113,0.0060344384603321,2.62594635350123,-0.00902152811352115,0.00826900488351232,2.3996893106977,"30min-10min"
"22",-0.0142214149830481,0.00638508748725302,2.71958982445776,-0.0155775030038822,0.000599488535322578,3.10312738461361,"30min-10min"
"23",-0.0232211221762369,0.0036999584481524,2.98358497982464,-0.0226145754674174,-0.00644136507816924,3.41907684655699,"30min-10min"
"24",-0.00647541635264701,-0.0010824941673342,3.30723084280044,-0.00656526549846032,-9.97482668518715e-06,3.14311198574968,"30min-10min"
"25",-0.017441049689179,0.00730659994342183,2.74487353983387,-0.0182673188534359,-0.00488688846819002,3.40299233952901,"30min-10min"
"26",-0.0151140877333058,-0.0046985001618645,3.4429908684847,-0.0153551207574403,-0.00383820508903988,3.38653606621828,"30min-10min"
"27",-0.0077765045927373,0.00460634897893257,2.60682318832872,-0.00848274129405813,0.00312018825308,2.78912469876482,"30min-10min"
"28",-0.0139914925468938,0.0021794957271291,2.98706165020835,-0.0141543659897775,-0.000407417159419043,3.17036855914476,"30min-10min"
"29",-0.0183816163419505,0.0039478065962959,2.93003702555614,-0.0187046801467199,-0.00189840376983485,3.24273981593634,"30min-10min"
"30",-0.0124017350483203,-0.0004690733458283,3.17939783578338,-0.0124103924435549,7.22593209052806e-05,3.13577023462213,"30min-10min"
"31",-0.0297632555238511,0.0060227437469458,2.94193369392433,-0.0303363473409803,-0.00135308965956722,3.18616603039839,"30min-10min"
"32",-0.0177436680689391,-0.0008474585845973,3.18931757010189,-0.0173723718647053,-0.00370899425554852,3.35193425354825,"30min-10min"
"33",-0.00937022580743607,-0.001250680291571,3.27428226420184,-0.00945287522677498,-9.21022317268109e-05,3.15133564873164,"30min-10min"
"34",-0.0089724200854296,0.0010396082800987,3.02623993063497,-0.00903041034007314,0.000191824543190966,3.12035378495012,"30min-10min"
"35",-0.0168237765732126,-0.00173975982319154,3.24463716107704,-0.015440271026398,-0.00690393026175252,3.5620639020908,"30min-10min"
"36",-0.0124710995068282,-0.0032638583298465,3.39756528547733,-0.0125038148849629,-0.00313619314282443,3.38734190107815,"30min-10min"
"37",-0.00754086467866633,0.00226067748340493,2.8503283286462,-0.00782733203352217,-0.000841531950034663,3.24869324362779,"30min-10min"
"38",-0.0150670912844483,0.0077996282246313,2.66391718272706,-0.0166973350990785,0.00300839505475005,2.96333295611877,"30min-10min"
"39",-0.0224599206959332,0.013426482297242,2.60279428272265,-0.0260687661968131,-0.00226669219825998,3.22832501354715,"30min-10min"
"40",-0.00666855820328635,0.00327350684806746,2.6852621895324,-0.0073213691849488,-0.00125820064085359,3.31178339344032,"30min-10min"
"41",-0.0145263910940335,-0.0010245598635776,3.21200697609114,-0.0144907162157343,0.00144391990287715,3.04227601205823,"30min-10min"
"42",-0.0088372288046181,-0.0010693248935393,3.26200952081475,-0.00860443996788652,0.00228115793231239,2.88244035925161,"30min-10min"
"43",-0.00908207274472631,0.0075072109771665,2.45084331503824,-0.00791264818126874,0.0087311087930259,2.30705883927918,"30min-10min"
"44",-0.0179013934676121,0.0109999143452013,2.59059950357342,-0.0210090283001042,0.000280595027493929,3.1282375216427,"30min-10min"
"45",-0.0196515647598243,0.00561106304672536,2.86346564991899,-0.0200555871835625,-0.00392956088468115,3.33507505276284,"30min-10min"
"46",-0.012325108592341,0.0056184238371697,2.71388297678293,-0.0124160339859374,0.0054145256751743,2.73036512148552,"30min-10min"
"47",-0.00909737965711163,0.0027510810532963,2.84793211295334,-0.00943523787956859,0.00114326276218038,3.02101102001195,"30min-10min"
"48",-0.0105063334483275,0.0068485201888266,2.56392022728068,-0.0117999986412047,0.00424797638550133,2.79603880793671,"30min-10min"
"49",-0.0134577840109741,-0.0074402878100665,3.6466299767014,-0.0134678490671065,-0.00742205326633356,3.64527553939681,"30min-10min"
"50",-0.0137326098851571,0.0029926760250389,2.92702262206206,-0.0140529622073366,0.000234386961936378,3.1249153703294,"30min-10min"
"51",-0.00646540782410023,0.00446259590368333,2.53745623724652,-0.00725024724485855,0.00302492568833165,2.74633278661362,"30min-10min"
"52",-0.0164915088754012,0.0047304026623331,2.86225376786164,-0.0170110970231643,0.00222915957341206,3.01129360069251,"30min-10min"
"53",-0.0117261184857429,-0.0010768724478041,3.23317115197435,-0.011757431458285,0.000651394284785139,3.08624646389841,"30min-10min"
"54",-0.0154558549642311,0.0043814412547838,2.86535894423543,-0.0160647453176917,-6.66184822025904e-05,3.14573950428797,"30min-10min"
"55",-0.0146903660797383,0.0030994616805591,2.93365628619983,-0.0146901029658543,0.00310070848655228,2.93357141308289,"30min-10min"
"56",-0.00787303545246739,-0.0016096866618057,3.34326880813754,-0.00802141317988592,0.000482399194190883,3.08152606940607,"30min-10min"
"57",-0.0167332230691532,0.00909218880543781,2.64386048015522,-0.0189182222337908,-0.00218392286234482,3.25652408709435,"30min-10min"
"58",-0.0185819392931346,0.00352098821147524,2.95432835861282,-0.0174355362367611,-0.00732720287802098,3.53942917953201,"30min-10min"
"59",-0.0110378422722252,-0.000763454383630501,3.21064966434714,-0.0110050507158315,-0.00114266502719818,3.24505288363512,"30min-10min"
"60",-0.0157523917452678,0.0027757648246268,2.96717097510969,-0.0158233159817904,-0.0023378168017265,3.28827655674365,"30min-10min"
"61",-0.0198653899188748,-0.0019079122427175,3.23734100112314,-0.0199542808569564,0.00031705084221481,3.12570512709521,"30min-10min"
"62",-0.010657303765317,0.0087048787749099,2.45669181683883,-0.0124317984215413,0.00589944285829437,2.69851594505005,"30min-10min"
"63",-0.0174864796269484,0.00461241429924934,2.88369626606091,-0.0177509803043157,-0.0034574605778517,3.33395989080899,"30min-10min"
"64",-0.0210070383354993,0.0102796352289931,2.68650739211932,-0.0221230190382225,-0.00758541948113216,3.47190555551677,"30min-10min"
"65",-0.00831382095622039,-0.00286521992659724,3.47347851161138,-0.00821583273436439,-0.00313515495642651,3.50613630871543,"30min-10min"
"66",-0.0196558443266028,0.0052519026839283,2.88049899934147,-0.0202122474653696,-0.00232373629996135,3.25605685927732,"30min-10min"
"67",-0.0108483670245311,0.00857856891678569,2.47250482978784,-0.0125238369446635,0.00586791444573413,2.70342854687463,"30min-10min"
"68",-0.0157195949842666,0.0105413478862467,2.55088123956345,-0.0189224981562663,0.000405888228894532,3.12014590842633,"30min-10min"
"69",-0.0273920333926889,0.011919169675873,2.73117091085961,-0.0277972182663815,-0.0109409668585358,3.51656907425706,"30min-10min"
"70",-0.00498789056734067,-0.00114561404479835,3.36735621026459,-0.00503436843554336,-0.000920118637247383,3.32236488275681,"30min-10min"
"71",-0.0229467619130448,0.0049862489783546,2.92762258419202,-0.0234371924226411,-0.00145415697646412,3.20355806702835,"30min-10min"
"72",-0.0134922851897904,0.0016623057463371,3.01900625373606,-0.013031460098672,0.00387118428050925,2.85283114228361,"30min-10min"
"73",-0.00552652870678591,0.00574505869313901,2.33680923377249,-0.00729029118514601,0.00322488346616171,2.72511599488075,"30min-10min"
"74",-0.0158783393135388,0.00662903388931144,2.74610095088528,-0.016683292789549,-0.00421111521567548,3.38884306831408,"30min-10min"
"75",-0.0266556834359286,0.0034503276932772,3.01286779075835,-0.0258246102390563,-0.00745115605985149,3.42249290989169,"30min-10min"
"76",-0.00319570174513349,-0.00150766602446719,3.58240993338457,-0.00324017532812949,-0.00140954968985235,3.55192186368733,"30min-10min"
"77",-0.0228927037941962,0.0058616524017285,2.89092902877323,-0.0236252046879135,0.00053344103861996,3.11901717035441,"30min-10min"
"78",-0.00540948468511306,0.0021701933567193,2.76006685517519,-0.00487159608083888,0.00319997115442883,2.56040795703301,"30min-10min"
"79",-0.00848817211149763,0.0033862040922387,2.76200724251253,-0.00780287418572169,0.00475716285095417,2.59409462626801,"30min-10min"
"80",-0.00905634734125797,0.00489257728555761,2.64627562717519,-0.0101418844948593,0.00175980639662371,2.96978465167262,"30min-10min"
"81",-0.0146484312337092,0.00748169165297668,2.66938178316345,-0.0161311803287905,-0.00321516232855698,3.33832804919065,"30min-10min"
"82",-0.00798822637259176,0.000781341775986599,3.04409112886311,-0.00799652144234684,-0.00069130338691465,3.2278287598208,"30min-10min"
"83",-0.0128846100299769,0.0050132882547324,2.77052565105527,-0.0131377919215867,0.00430635091170108,2.82484527231357,"30min-10min"
"84",-0.00673049091349053,0.0051244650045675,2.49084767860528,-0.0053851085777759,0.00652382212550128,2.26086585716887,"30min-10min"
