"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",0.0046244627252067,-0.00657292328984702,5.32550192389534,0.00586102336169794,-0.00549885271894697,5.5296579148548,"GSR-NOGSR"
"2",0.0015318459451875,-0.0101136954290963,4.86270897201433,0.00571414970066362,-0.00848421360119585,5.30511002676948,"GSR-NOGSR"
"3",0.0174636619001259,-0.00844157484292537,5.8329223486077,0.0168947375749791,-0.00952929772140689,5.76962721682744,"GSR-NOGSR"
"4",-0.000164379814785601,-0.00772036520315292,4.69110048205709,-0.000873578055900061,-0.00767254331847095,4.59901949981605,"GSR-NOGSR"
"5",0.002776209206367,-0.00434677845010568,5.28076660341816,0.003847074942582,-0.0034353798680754,5.55425949313884,"GSR-NOGSR"
"6",0.020292331345764,-0.0165663772782813,5.59853239540501,0.0225966097818331,-0.0132520486695528,5.75277983683007,"GSR-NOGSR"
"7",-0.0086108576490659,-5.25821500741014e-05,3.1476990716318,-0.00838336202794935,-0.00196694571438059,3.37204914188298,"GSR-NOGSR"
"8",-0.0186757513301379,0.0158846864961713,2.43677855857941,-0.0244379199477593,-0.00197358087082909,3.22217672197686,"GSR-NOGSR"
"9",-0.0261894107759906,0.0042058181042516,2.98235991463097,-0.0246287481270665,-0.00984880238471362,3.52200462994944,"GSR-NOGSR"
"10",-0.0020666832131475,0.0181732331303588,1.68403113485729,-0.00606230313742263,0.0172564788582107,1.90863407298039,"GSR-NOGSR"
"11",0.0080903237048164,-0.00464138203198575,5.76233197157755,0.00884310703223907,-0.0029656740940161,5.95960680911283,"GSR-NOGSR"
"12",-0.0033401384854582,-0.0191661888126878,4.53984934183175,-0.0036873895301666,-0.019102420714623,4.52170175200372,"GSR-NOGSR"
"13",-0.011978716480987,-0.0291376469846029,4.32234366619126,-0.0138052094510357,-0.0283179856689039,4.25878582213052,"GSR-NOGSR"
"14",0.0056500573583863,-0.0118043040176034,5.1588061587699,0.00241773542960128,-0.0128615433321788,4.89820227889402,"GSR-NOGSR"
"15",-0.0171826999374837,-0.0147679173339547,3.85155564051416,-0.0127859425657203,-0.0187044441839425,4.11276987300065,"GSR-NOGSR"
"16",0.0035738299071244,0.0056492503520776,1.00673607173726,0.00299185427313019,0.00597788405322973,1.10675905764695,"GSR-NOGSR"
"17",-0.0012717343311453,0.0125894364094801,1.67147080442674,-0.00980132782588078,0.00800282388703962,2.45686896782419,"GSR-NOGSR"
"18",-0.0053299445420904,0.00279070846364728,2.65925122146852,-0.00574216880802003,-0.00179551105010066,3.44464938486597,"GSR-NOGSR"
"19",0.002694706832645,0.0128671523916349,1.36435465340999,-0.0071786124282651,0.011013291024404,2.14844540132695,"GSR-NOGSR"
