"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-0.002479169371626,0.0057329675936095,1.97895252089173,-0.000481920884801349,0.00622743530382913,1.64802913224081,"GSR-NOGSR"
"2",-0.000424381991342941,-0.0026918353720342,4.55602076886393,-0.000808887730348784,-0.00260226408813592,4.4110171526753,"GSR-NOGSR"
"3",0.00427924484538442,0.0109076596619984,1.19693195076337,0.00752199372859792,0.00898379575099908,0.873730689132311,"GSR-NOGSR"
"4",-0.00243026449256084,-0.00223278902083036,3.88466714540053,-0.00302797812544577,-0.00131258553518028,3.55062884255129,"GSR-NOGSR"
"5",0.00025813230809553,0.0103217196486233,1.54579288528827,-0.00140003878253073,0.0102295855341587,1.70681300966252,"GSR-NOGSR"
"6",0.00120600393130838,0.0103149029819473,1.45440616491874,0.000128766547886379,0.0103843674908712,1.55839692463068,"GSR-NOGSR"
"7",-0.00899822312167239,0.0042628231618674,2.69917241759722,-0.00884034303199741,0.00458126791765855,2.66347325515385,"GSR-NOGSR"
"8",-0.00417793032461854,0.0115613785597644,1.91756381017186,-0.00739129158897934,0.00982290103005372,2.2158668236139,"GSR-NOGSR"
"9",-0.00323459479318212,0.0059947213200152,2.06559958293832,-0.00284664125593474,0.00618836979670219,2.00193388709822,"GSR-NOGSR"
"10",-0.00626940239191839,0.0180950399219576,1.90432361161614,-0.00596823196078516,0.0181965953791168,1.88772675587537,"GSR-NOGSR"
"11",0.00144147427758766,-0.007141093684463,4.91156874179543,-0.00206087439671514,-0.00698755063124327,4.4255852765719,"GSR-NOGSR"
"12",-0.00123954141006298,-0.014974838472582,4.62980231283131,-0.0098805985240175,-0.0113206017063744,3.9948074932105,"GSR-NOGSR"
"13",-0.000161698613013709,-0.0282722025731057,4.70666969305557,-0.0170075205974962,-0.022585124039994,4.0669445780027,"GSR-NOGSR"
"14",0.000947313249605761,-0.0061241586427004,4.86585730054006,-0.00323020463758586,-0.00528852526449098,4.16406978845125,"GSR-NOGSR"
"15",-0.00721561579079414,-0.0045879139849687,3.70794284365861,-0.00799856666187688,-0.00302274665318496,3.50291302360617,"GSR-NOGSR"
"16",0.00341456704810962,0.0104913454050341,1.25614379520792,0.00708519654613607,0.00845739832551286,0.873456377465657,"GSR-NOGSR"
"17",0.00066199503047618,0.0152285328548136,1.52735297490917,-0.00204390601700189,0.0151052606241725,1.7052903518812,"GSR-NOGSR"
"18",0.00292004383833942,0.0108561903313148,1.30804008940398,0.00357189975365116,0.0106595054612033,1.24746509461568,"GSR-NOGSR"
"19",0.00250248292761701,0.0201900519003985,1.44747892163552,0.00418367850799024,0.0199097325618799,1.36367739448964,"GSR-NOGSR"
"20",0.00315914111585435,0.00342361603695835,0.825553488713141,0.0027335625581534,0.00377212872249367,0.943702033346792,"GSR-NOGSR"
"21",0.00164181641795565,-0.0027342792583388,5.25314425343523,-0.000162560086402996,-0.00318518734632033,4.66139695110356,"GSR-NOGSR"
"22",-0.00076121843805943,0.0018283110144058,1.96531812844718,0.000179492565850563,0.00197229741536199,1.48003948728077,"GSR-NOGSR"
"23",0.0046362311987268,0.0140178912249418,1.25138455269685,0.00927518506332419,0.0114876828021771,0.891557869818571,"GSR-NOGSR"
"24",0.00109226818883441,0.010846153187102,1.470429125383,0.00435628821608742,0.00999273945086133,1.15969152321712,"GSR-NOGSR"
"25",0.00378143664966286,0.0029334841138411,0.659784182914046,0.00440941048238635,0.00186056211382286,0.399286623348151,"GSR-NOGSR"
"26",-0.00663943021769254,0.0020117845408625,2.84738071346867,-0.00644643098609481,0.00256375470667123,2.76306938695263,"GSR-NOGSR"
"27",-0.00043444553005802,-0.0234090626761241,4.69383225013482,-0.0142434000051029,-0.0185822096260894,4.05840661164812,"GSR-NOGSR"
"28",-0.00123117009075527,0.0026591607280112,2.00440170594972,-0.000736659838980477,0.00283623832767993,1.8249126732865,"GSR-NOGSR"
"29",-0.00364955917317274,-0.01071066735204,4.38398676940643,-0.00852779198171251,-0.00743736789470473,3.85879649606273,"GSR-NOGSR"
"30",-0.0113311737941846,0.0159233416987833,2.18927033732388,-0.0182961431533768,0.00687018603251542,2.78238445232667,"GSR-NOGSR"
"31",-0.00655257588730459,0.0064675645424934,2.36272361614682,-0.00520835750959299,0.0075920125080554,2.17208561267498,"GSR-NOGSR"
"32",-0.00518148475505053,0.000880194246516901,2.97332595307291,-0.0048902924067943,0.00192550418188913,2.76649437017895,"GSR-NOGSR"
"33",-0.0139223260636869,0.00630651817574621,2.71626434076338,-0.0151875574076408,0.00171506108178356,3.02914362209606,"GSR-NOGSR"
"34",-0.00368911341036445,-0.0232702978320357,4.55516428920039,-0.0155931146119374,-0.0176627035202757,3.98914304977551,"GSR-NOGSR"
"35",-0.00138157116410929,0.00413391277607036,1.89333048937017,-0.00182712386759073,0.00395722024837339,2.00335294539506,"GSR-NOGSR"
"36",-0.00399857503309989,-0.0063104723658761,4.14759991511869,-0.00559875770775718,-0.00494616779998872,3.86518301316927,"GSR-NOGSR"
"37",-0.00024493198570392,-0.00206728080826923,4.59445848042834,-0.00115954607884587,-0.00172889979723878,4.12161004227185,"GSR-NOGSR"
"38",-0.000222721804798609,0.0151045878457106,1.58554056659023,-0.00322726148945853,0.0147574714050131,1.7860935366729,"GSR-NOGSR"
"39",0.00444089279033311,0.0076748218774299,1.04623724952276,0.00599651323551171,0.00653194064898343,0.828109083610582,"GSR-NOGSR"
"40",-0.00027109415198418,0.00340868785501488,1.65015963579683,-0.0011747091022986,0.0032113398227442,1.92147722329557,"GSR-NOGSR"
"41",-0.00099235482300382,0.0183628558379759,1.62478523090712,-0.000290519824612521,0.0183873554610915,1.58659499092524,"GSR-NOGSR"
"42",0.00282757807536973,-0.0050828086953379,5.2200579154792,-0.0010499954156447,-0.0057208086520036,4.53086957218556,"GSR-NOGSR"
"43",0.00404937261170314,0.0220623359101881,1.38927435618464,0.0149358501104179,0.0167351267052722,0.84214868908419,"GSR-NOGSR"
"44",0.00282448271230196,0.0074261819957579,1.20735123364582,0.00596625380023903,0.00524687499539914,0.721330917623246,"GSR-NOGSR"
"45",-0.00259232525977064,0.00342406583118017,2.21881947733442,-0.00219800456571028,0.0036896006556018,2.10806995912468,"GSR-NOGSR"
"46",-0.0072908086990038,0.0028055769296556,2.77424919508533,-0.00605013280344676,0.00494196787265383,2.4566696749763,"GSR-NOGSR"
"47",-0.00019410381118225,0.0109978763751015,1.58844370290963,-0.00105864907084695,0.0109485260741493,1.66718995425825,"GSR-NOGSR"
"48",0.00298181072237567,0.0139718138231142,1.3605345292861,0.00487728162913516,0.0134281383892906,1.22239882003219,"GSR-NOGSR"
"49",-0.000610237829176,0.0056787916396366,1.67784464102579,8.69248546165833e-05,0.00571082382535251,1.55557643116128,"GSR-NOGSR"
"50",-0.01188839614039,0.0124149033955236,2.33453385481208,-0.0151434959308678,0.00813254696284092,2.64875990696504,"GSR-NOGSR"
"51",-0.00423057368179056,-0.0248953267842624,4.54406253207329,-0.0163948853157767,-0.0192063214816061,4.00579751679982,"GSR-NOGSR"
"52",-0.00354674645790385,0.0157855316837375,1.79180937584058,-0.00758719657363331,0.014289746993141,2.05889930549459,"GSR-NOGSR"
"53",-0.00561315701899889,0.0107199881417976,2.05315773071975,-0.00458033544765466,0.0112002769906452,1.9589929673832,"GSR-NOGSR"
"54",-0.00171494269038414,0.00476088884687081,1.91654206254503,-0.000663614374379651,0.00501664300161747,1.70231529722866,"GSR-NOGSR"
"55",-0.00318122507861356,0.0151815798422477,1.77735275786292,-0.00379264903681729,0.0150404911086996,1.81780932102044,"GSR-NOGSR"
"56",-0.00039666619016291,0.0028191639703071,1.71058216145243,0.00121147580511411,0.0025763066454751,1.13124098941022,"GSR-NOGSR"
"57",0.00103503705312983,0.00668787127475948,1.41725117805065,0.00198795565778488,0.00646892233619988,1.27264792816786,"GSR-NOGSR"
"58",0.00385534523656356,-0.0081175823570126,5.15578641826534,0.000567879159675253,-0.00896863108149634,4.77562294084281,"GSR-NOGSR"
"59",-0.00021340481891053,0.00659690725307362,1.60313427194047,0.000169150154275369,0.00659819029338334,1.54516609995883,"GSR-NOGSR"
"60",-0.00131312845214802,0.00534066803005759,1.81188741924543,-0.00123713647770131,0.00535878108105385,1.79768281938101,"GSR-NOGSR"
"61",0.00146375717775312,-0.0088043513353557,4.87713595726851,-0.00391845322570766,-0.00801903434521544,4.25786735227639,"GSR-NOGSR"
"62",0.00617178402577959,0.0104149339798114,1.03584329269123,0.0105369675074989,0.00596104719077191,0.514837463294187,"GSR-NOGSR"
"63",0.00546668149640304,0.0030042403034676,0.502501236663685,0.00621097966290671,0.000577752551750131,0.0927542453501264,"GSR-NOGSR"
"64",-0.00209412744551351,-0.0074576582478852,4.43863647761633,-0.00487523752581949,-0.00601947633662136,4.03163415269591,"GSR-NOGSR"
"65",0.00065048378200843,0.00354658566772684,1.38940115098095,0.00203284736266649,0.00297807499054025,0.971840854602454,"GSR-NOGSR"
"66",-0.000541824919381999,-0.0025767039067601,4.50513025489818,-0.00127926817169971,-0.00230140179265859,4.20505422264306,"GSR-NOGSR"
"67",-0.00088098867577233,-0.0012116323158935,4.08369983512163,-0.00136613231874899,-0.000614716522818474,3.56442039162712,"GSR-NOGSR"
"68",0.00068992412760489,0.017843035404038,1.53214928110425,-0.0101977293448799,0.0146579747557492,2.17863865662394,"GSR-NOGSR"
"69",0.00639423164043624,0.00645325000199465,0.78999189998,0.00634599223637015,0.00650069353190332,0.797439698552565,"GSR-NOGSR"
"70",0.00079842575748814,0.00502271361210205,1.41315231737426,0.00249161933419358,0.00443361802740025,1.05879945357603,"GSR-NOGSR"
"71",-0.00497217901514345,0.014316895527284,1.90505886725702,-0.00685615981530059,0.0135162544473259,2.04022943883157,"GSR-NOGSR"
"72",0.00136566209271389,-0.0131241542315046,4.81607297907333,-0.00660765237931372,-0.0114213566303634,4.18790225543614,"GSR-NOGSR"
"73",0.00410019052758882,0.00945687447433183,1.16169162560207,0.00554370250400094,0.00868972955464851,1.00293147972957,"GSR-NOGSR"
"74",0.00228461674792519,0.00662074398998658,1.23852067923284,0.00249016863361751,0.00654620384971254,1.20730081076965,"GSR-NOGSR"
"75",-0.00178109403761786,0.0012970784679416,2.51215867291481,-0.00118062040891176,0.00186033437126143,2.13628925718353,"GSR-NOGSR"
"76",0.0004428714921867,0.00135315165189766,1.25449560654454,0.000851598406937576,0.0011410235339056,0.929637850766942,"GSR-NOGSR"
"77",-0.00147930542078041,0.0200472689742071,1.64445370006334,-0.00757217852295393,0.0186210485813413,1.95701901798484,"GSR-NOGSR"
"78",4.52731189406032e-06,-0.000509506478089301,4.72127442726829,-0.000233072669646367,-0.000453094337232176,4.2372862024112,"GSR-NOGSR"
"79",0.00052736539140131,0.0063917491909922,1.48847557696123,0.00430461795667053,0.00475424402231385,0.834991301133289,"GSR-NOGSR"
"80",0.00183716857702492,0.00980401900835551,1.3855552879987,0.00360157765023559,0.00930175335761637,1.20137862475754,"GSR-NOGSR"
"81",0.00569898506384941,0.00343951441921749,0.543011813785541,0.00580758598337374,0.00325278884093396,0.510559193560974,"GSR-NOGSR"
"82",0.0012396236885413,0.00657730366832801,1.38451159282239,0.00296647763061207,0.0059998000718084,1.11161510953039,"GSR-NOGSR"
"83",-0.00691284071481473,0.009086444375832,2.22116488550367,-0.00596932356323051,0.00973231803533723,2.12097468799082,"GSR-NOGSR"
"84",0.00067848433548331,-0.014663272326531,4.75862700478228,-0.0080804378827067,-0.0122547305127132,4.12945288117172,"GSR-NOGSR"
"85",0.00116026742165108,0.0121731168469223,1.47576948298045,0.00291543569132128,0.011875656991861,1.33006044745382,"GSR-NOGSR"
"86",0.0026790661647953,0.0150668220309979,1.39482324431413,0.00786871719855663,0.0131251594762979,1.03073423701594,"GSR-NOGSR"
"87",-0.0015227902302216,0.0044882768336483,1.89789083110973,0.000430271026501418,0.00471999850259254,1.47988844101674,"GSR-NOGSR"
"88",0.00040115424925482,0.0119413553641788,1.53721526054165,0.00449452258663122,0.0110705085422287,1.1851363169564,"GSR-NOGSR"
"89",-0.00039925982183386,0.00614139254218944,1.63571625415996,7.42135960773921e-05,0.00615390957885702,1.55873732629713,"GSR-NOGSR"
"90",0.00161264558731229,-0.0001525910006464,6.18884465458802,0.00133164121318367,-0.000922302273176644,5.67743922934503,"GSR-NOGSR"
"91",0.0003700621671049,0.00805909207563848,1.52490996663873,0.00230962943671489,0.00772991092808975,1.28044888290665,"GSR-NOGSR"
"92",-0.00106725846948108,0.0072285929574764,1.71738133766357,0.00172122558473881,0.00710133644267029,1.33300169990414,"GSR-NOGSR"
"93",-0.00277692972433769,-0.0120609429200627,4.48609122735242,-0.00699776978615168,-0.0102082760951565,4.11146122453845,"GSR-NOGSR"
"94",-0.00444300609498627,-0.0195513421254224,4.48893576083944,-0.0122995455914893,-0.0158340285558754,4.05196824213183,"GSR-NOGSR"
