"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-0.0114919595427391,-0.0058255047023746,3.61076096468202,-0.00969578827757973,-0.00848488826359478,3.86048535862049,"cpac_abcd_all-cpac_ccs_all"
"2",-0.009921758279506,0.00336770388939078,2.81436865295942,-0.010059272819319,-0.00293150937062693,3.42516272621829,"cpac_abcd_all-cpac_ccs_all"
"3",-0.00842664818694654,0.00742702242533153,2.41916439759505,-0.0112324956513202,1.01595285395672e-05,3.14068817731982,"cpac_abcd_all-cpac_ccs_all"
"4",-0.0048830569605956,0.0033928631111196,2.53434925274307,-0.00541820938912414,0.00244923914447412,2.71704481838741,"cpac_abcd_all-cpac_ccs_all"
"5",0.00610278784889915,0.00747101209610283,0.885857753757784,0.000399443378990079,0.00963848983273661,1.52937750058877,"cpac_abcd_all-cpac_ccs_all"
"6",-0.0005231435853938,0.00819319717699705,1.63456073589783,-0.00390335783902778,0.00722260041623455,2.06626758322477,"cpac_abcd_all-cpac_ccs_all"
"7",-0.023543416174691,0.0073966467820728,2.83718663273012,-0.0238293884404942,-0.00641584564539175,3.40459681782506,"cpac_abcd_all-cpac_ccs_all"
"8",-0.0117279031262772,-0.00733858651713708,3.70072199142641,-0.00500255089000718,-0.012898567687993,4.34241110836517,"cpac_abcd_all-cpac_ccs_all"
"9",0.0166448566464084,-0.0022720241051029,6.14752365222404,0.0163874238923255,0.00369671265949834,0.221868608132588,"cpac_abcd_all-cpac_ccs_all"
"10",-0.0180008883053982,-0.006629759838132,3.49447805025372,-0.015109125371424,-0.011819476545318,3.80543124128015,"cpac_abcd_all-cpac_ccs_all"
"11",0.0039511212770524,-0.0026615749230496,5.69038070582257,0.00397258578283326,-0.00262943009319771,5.69849424491958,"cpac_abcd_all-cpac_ccs_all"
"12",0.006195958384156,-0.0175646535150348,5.05151294445493,-0.00115847446033515,-0.0185893757379361,4.65015029914274,"cpac_abcd_all-cpac_ccs_all"
"13",-0.0011493033892659,-0.0018659991190294,4.16034684771113,-0.00128141763425856,-0.00177786946635791,4.08786541887563,"cpac_abcd_all-cpac_ccs_all"
"14",0.0037486511574075,-0.0094593443616065,5.08969368834522,-0.000907340124559046,-0.0101345110957438,4.62309730909317,"cpac_abcd_all-cpac_ccs_all"
"15",-0.0106281904836164,-0.0115034269324981,3.96651710117455,-0.00853705479900913,-0.0131303449880828,4.13588899385218,"cpac_abcd_all-cpac_ccs_all"
