"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",-1.03186060816003e-05,-0.0039570290896314,4.70978132134064,-0.000338332196771796,-0.00394255209406903,4.6267831818821,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"2",0.000481277267579801,0.00139712096750419,1.23904943678549,-0.000496733294164656,0.00139170070079642,1.91362737361371,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"3",-0.0022412384050089,0.00750750992329883,1.86090657787871,-0.00480716943960747,0.00618683900028288,2.23135424769757,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"4",0.0001872741174983,0.00044125480325972,1.16942328078522,-7.06889643069911e-05,0.000474110184250187,1.71880417973578,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"5",-0.0052528199492035,0.00025855126059688,3.0924109255739,-0.00509757666404254,-0.00129370720308555,3.39013393302776,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"6",-0.0052784865501938,0.00041264941861263,3.06357562044567,-0.0047183868984202,-0.00240198353035044,3.61246894962907,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"7",0.0021299815967978,-0.0068285769596814,5.01474694732457,0.00195650226816312,-0.00688028951219798,4.98943922845336,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"8",-0.0081434539594885,-0.0067830798240455,3.83610392165669,-0.00767396056914073,-0.00731001665339795,3.90270671896903,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"9",-0.0104094402875652,0.0100774539571234,2.37239788694073,-0.0133035657548561,0.00573817597887572,2.73437591429402,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"10",-0.0026578429672148,-0.000700800794926602,3.39939782803024,-0.00273641990813071,-0.000259339697942415,3.23608377789198,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"11",-0.0186632494059743,0.0063365035071076,2.81428653402778,-0.0196053968014484,0.00202399884954091,3.03872026505028,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
"12",-0.0064728369454099,0.0094704794859413,2.1703454483246,-0.00857982749301777,0.00761407643812135,2.41576064461339,"cpac_fmriprep_all_gsr-cpac_default_all_gsr"
