"","delta.sigma2_w","delta.sigma2_b","delta.theta","delta.sigma2_w_norm","delta.sigma2_b_norm","delta.theta_norm","contrast"
"1",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"2",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"3",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"4",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"5",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"6",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"7",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"8",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"9",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"10",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"11",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"12",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"13",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"14",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"15",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"16",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"17",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"18",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"19",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"20",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"21",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"22",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"23",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"24",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"25",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"26",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"27",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"28",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"29",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"30",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"31",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"32",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"33",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"34",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"35",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"36",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"37",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"38",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"39",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"40",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"41",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"42",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"43",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"44",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"45",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"46",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"47",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"48",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"49",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"50",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"51",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"52",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"53",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"54",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"55",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"56",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"57",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"58",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"59",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"60",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"61",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"62",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"63",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"64",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"65",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"66",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
"67",0,0,0,0,0,0,"cpac_default_all-cpac_default_all"
