Hemi,HCPMMP_labels,Yeo7Network_keys,Yeo7Network_labels,Yeo7Network_colors
L,1,1,N1_Visual,#781286
L,2,3,N3_DorsalA,#00760e
L,3,1,N1_Visual,#781286
L,4,1,N1_Visual,#781286
L,5,1,N1_Visual,#781286
L,6,1,N1_Visual,#781286
L,7,1,N1_Visual,#781286
L,8,2,N2_Somatom,#4682b4
L,9,2,N2_Somatom,#4682b4
L,10,3,N3_DorsalA,#00760e
L,11,3,N3_DorsalA,#00760e
L,12,2,N2_Somatom,#4682b4
L,13,1,N1_Visual,#781286
L,14,7,N7_Default,#cd3e4e
L,15,6,N6_Frontop,#e69422
L,16,1,N1_Visual,#781286
L,17,3,N3_DorsalA,#00760e
L,18,1,N1_Visual,#781286
L,19,1,N1_Visual,#781286
L,20,1,N1_Visual,#781286
L,21,1,N1_Visual,#781286
L,22,1,N1_Visual,#781286
L,23,1,N1_Visual,#781286
L,24,2,N2_Somatom,#4682b4
L,25,4,N4_Ventral,#c43afa
L,26,7,N7_Default,#cd3e4e
L,27,7,N7_Default,#cd3e4e
L,28,7,N7_Default,#cd3e4e
L,29,6,N6_Frontop,#e69422
L,30,7,N7_Default,#cd3e4e
L,31,7,N7_Default,#cd3e4e
L,32,7,N7_Default,#cd3e4e
L,33,7,N7_Default,#cd3e4e
L,34,7,N7_Default,#cd3e4e
L,35,7,N7_Default,#cd3e4e
L,36,2,N2_Somatom,#4682b4
L,37,4,N4_Ventral,#c43afa
L,38,4,N4_Ventral,#c43afa
L,39,2,N2_Somatom,#4682b4
L,40,2,N2_Somatom,#4682b4
L,41,2,N2_Somatom,#4682b4
L,42,3,N3_DorsalA,#00760e
L,43,4,N4_Ventral,#c43afa
L,44,4,N4_Ventral,#c43afa
L,45,3,N3_DorsalA,#00760e
L,46,3,N3_DorsalA,#00760e
L,47,3,N3_DorsalA,#00760e
L,48,3,N3_DorsalA,#00760e
L,49,3,N3_DorsalA,#00760e
L,50,3,N3_DorsalA,#00760e
L,51,2,N2_Somatom,#4682b4
L,52,2,N2_Somatom,#4682b4
L,53,2,N2_Somatom,#4682b4
L,54,2,N2_Somatom,#4682b4
L,55,2,N2_Somatom,#4682b4
L,56,2,N2_Somatom,#4682b4
L,57,4,N4_Ventral,#c43afa
L,58,6,N6_Frontop,#e69422
L,59,4,N4_Ventral,#c43afa
L,60,4,N4_Ventral,#c43afa
L,61,7,N7_Default,#cd3e4e
L,62,7,N7_Default,#cd3e4e
L,63,6,N6_Frontop,#e69422
L,64,7,N7_Default,#cd3e4e
L,65,7,N7_Default,#cd3e4e
L,66,7,N7_Default,#cd3e4e
L,67,7,N7_Default,#cd3e4e
L,68,7,N7_Default,#cd3e4e
L,69,7,N7_Default,#cd3e4e
L,70,7,N7_Default,#cd3e4e
L,71,7,N7_Default,#cd3e4e
L,72,7,N7_Default,#cd3e4e
L,73,6,N6_Frontop,#e69422
L,74,7,N7_Default,#cd3e4e
L,75,7,N7_Default,#cd3e4e
L,76,7,N7_Default,#cd3e4e
L,77,7,N7_Default,#cd3e4e
L,78,4,N4_Ventral,#c43afa
L,79,6,N6_Frontop,#e69422
L,80,3,N3_DorsalA,#00760e
L,81,6,N6_Frontop,#e69422
L,82,6,N6_Frontop,#e69422
L,83,6,N6_Frontop,#e69422
L,84,6,N6_Frontop,#e69422
L,85,6,N6_Frontop,#e69422
L,86,6,N6_Frontop,#e69422
L,87,7,N7_Default,#cd3e4e
L,88,5,N5_Limbic,#dcf8a4
L,89,7,N7_Default,#cd3e4e
L,90,5,N5_Limbic,#dcf8a4
L,91,6,N6_Frontop,#e69422
L,92,5,N5_Limbic,#dcf8a4
L,93,5,N5_Limbic,#dcf8a4
L,94,7,N7_Default,#cd3e4e
L,95,3,N3_DorsalA,#00760e
L,96,3,N3_DorsalA,#00760e
L,97,6,N6_Frontop,#e69422
L,98,7,N7_Default,#cd3e4e
L,99,4,N4_Ventral,#c43afa
L,100,2,N2_Somatom,#4682b4
L,101,2,N2_Somatom,#4682b4
L,102,2,N2_Somatom,#4682b4
L,103,2,N2_Somatom,#4682b4
L,104,2,N2_Somatom,#4682b4
L,105,4,N4_Ventral,#c43afa
L,106,4,N4_Ventral,#c43afa
L,107,2,N2_Somatom,#4682b4
L,108,4,N4_Ventral,#c43afa
L,109,4,N4_Ventral,#c43afa
L,110,0,None,#999999
L,111,6,N6_Frontop,#e69422
L,112,4,N4_Ventral,#c43afa
L,113,4,N4_Ventral,#c43afa
L,114,4,N4_Ventral,#c43afa
L,115,2,N2_Somatom,#4682b4
L,116,3,N3_DorsalA,#00760e
L,117,3,N3_DorsalA,#00760e
