subID,session,V1,V2,V3,,,,,,,,,
S01,1,0.075,1.164,0.621,,,,,,,,,
S02,1,0.16,0.705,0.407,,,,,,,,,
S03,1,0.101,-0.862,0.473,,,,,,,,,
S04,1,-0.055,0.297,0.012,,,,,,,,,
S05,1,0.075,0.416,0.036,,,,,,,,,
S06,1,0.282,0.59,0.906,,,,,,,,,
S07,1,-0.012,1.042,0.486,,,,,,,,,
S08,1,0.123,0.321,0.715,,,,,,,,,
S09,1,-0.079,0.366,0.276,,,,,,,,,
S10,1,-0.04,0.705,0.439,,,,,,,,,
S11,1,0.157,0.758,0.28,,,,,,,,,
S12,1,0.056,0.588,0.449,,,,,,,,,
S13,1,0.224,0.403,0.201,,,,,,,,,
S14,1,0.024,0.713,0.453,,,,,,,,,
S15,1,0.107,0.453,0.066,,,,,,,,,
S16,1,0.182,1.12,0.438,,,,,,,,,
S17,1,0.035,0.648,0.569,,,,,,,,,
S18,1,0.014,0.872,0.264,,,,,,,,,
S19,1,0.151,0.436,0.343,,,,,,,,,
S20,1,0.165,0.278,0.398,,,,,,,,,
S21,1,0.136,0.318,0.141,,,,,,,,,
S22,1,0.165,-0.004,0.043,,,,,,,,,
S23,1,0.005,0.41,0.322,,,,,,,,,
S24,1,0.213,0.663,0.938,,,,,,,,,
S25,1,0.059,1.191,0.324,,,,,,,,,
S01,2,-0.067,0.529,0.217,,,,,,,,,
S02,2,0.081,0.1,-0.111,,,,,,,,,
S03,2,0.084,1.121,0.541,,,,,,,,,
S04,2,-0.041,0.113,-0.042,,,,,,,,,
S05,2,0.053,0.412,-0.074,,,,,,,,,
S06,2,0.199,0.166,0.539,,,,,,,,,
S07,2,0.273,0.727,0.506,,,,,,,,,
S08,2,0.334,0.563,1.056,,,,,,,,,
S09,2,-0.213,-0.023,0.067,,,,,,,,,
S10,2,-0.127,0.734,0.331,,,,,,,,,
S11,2,0.135,-0.033,-0.072,,,,,,,,,
S12,2,-0.12,0.683,-0.052,,,,,,,,,
S13,2,0.114,0.185,-0.294,,,,,,,,,
S14,2,-0.007,0.501,0.061,,,,,,,,,
S15,2,0.077,0.283,0.001,,,,,,,,,
S16,2,0.16,0.303,0.019,,,,,,,,,
S17,2,0,0.577,0.382,,,,,,,,,
S18,2,-0.057,0.189,-0.025,,,,,,,,,
S19,2,0.2,0.616,0.306,,,,,,,,,
S20,2,0.02,0.386,0.434,,,,,,,,,
S21,2,0.151,0.318,0.267,,,,,,,,,
S22,2,0.177,0.444,0.242,,,,,,,,,
S23,2,0.085,0.217,0.313,,,,,,,,,
S24,2,0.061,0.493,0.517,,,,,,,,,
S25,2,0.132,0.318,0.001,,,,,,,,,
