"","ICC","ICCk","sigma2_b","sigma2_w","var.data","error.message"
"V1_L",0.116241742902234,0.208273420415196,0.00127131821657083,0.00966552929474084,0.0207810413850992,0
"MST_L",0.203539544446468,0.338234909497851,0.00361470088705158,0.0141445060369979,0.0228849112104018,0
"V6_L",0.613667900231653,0.760587603116548,0.0181452664982715,0.0114232778095241,0.0358576114821266,0
"V2_L",0.49349742377838,0.660861432930882,0.008340433422095,0.00856022911477878,0.0290779771076653,0
"V3_L",0.427861038383537,0.599303471250834,0.00610857410816741,0.00816843071387869,0.0264514208127175,0
"V4_L",0.535105848050272,0.697158243165976,0.00643349579638005,0.00558935130914372,0.0205151286645694,0
"V8_L",0.512586323667768,0.677761415196234,0.00711282138291927,0.00676351720532882,0.0199423179355845,0
"X4_L",0.344488341872316,0.51244526433392,0.00910901718648014,0.0173331466817426,0.0362405885627773,0
"X3b_L",0.344460549345202,0.512414513780959,0.00881663875627074,0.0167788576598809,0.0325448672367009,0
"FEF_L",0.613119466783975,0.760166223777997,0.0107322967286534,0.00677211686458644,0.024326271281353,0
"PEF_L",0.665234405069393,0.798967884694493,0.0116619182875683,0.00586862162242299,0.0282258082340985,0
"X55b_L",0.556110000592038,0.714743816800175,0.0112320358121202,0.00896547151585896,0.0273751789329938,0
"V3A_L",0.634991926517189,0.776752369499255,0.0122168785715822,0.00702254489414513,0.0302536411081163,0
"RSC_L",0.0166183192367606,0.0326933302741131,0.000209107875697898,0.012373865932829,0.0152135815162685,0
"POS2_L",0.486550633583399,0.654603513114849,0.010392793660319,0.0109673545811437,0.0211851446819456,0
"V7_L",0.429916823715438,0.60131724668902,0.00652094014728537,0.00864697091730135,0.0233126920737174,0
"IPS1_L",0.477169018699662,0.646058795789949,0.00722264841500223,0.0079138087562633,0.0231951742007859,0
"FFC_L",0.0913686773750156,0.167438702006324,0.000897163568696483,0.0089219954086645,0.0142934672854964,0
"V3B_L",0.461085401283989,0.631154620912359,0.00632436880014748,0.00739189457001333,0.0227539861287378,0
"LO1_L",0.52088064606175,0.684972417014506,0.00820406040071036,0.00754630479857135,0.0186172155187822,0
"LO2_L",0.590165787882329,0.742269507216942,0.0103374769494155,0.00717874842601521,0.0203858691002487,0
"PIT_L",0.404549057520833,0.576055432673746,0.00617336288068468,0.00908649934348272,0.0206544744591192,0
"MT_L",0.294561329137662,0.455075124689343,0.00648776865614715,0.0155374193586554,0.0271712684656332,0
"A1_L",0.193612158789738,0.324413851457496,0.00290349105396188,0.0120929382617975,0.021253014848243,0
"PSL_L",0.724975322676739,0.840563123595015,0.020435932172746,0.00775251994903502,0.0325030591804559,0
"SFL_L",0.528314762856883,0.691369050010748,0.00999960516462356,0.00892775758888026,0.022170856202261,0
"PCV_L",0.413586073919392,0.585158670632145,0.0113183276933459,0.0160479895186592,0.0350909979082509,0
"STV_L",0.462738586536079,0.63270168818325,0.0110397889636597,0.0128177178120346,0.029041256014059,0
"X7Pm_L",0.266201775994331,0.420472915203876,0.00571439391778268,0.0157520065088785,0.0245462388613055,0
"X7m_L",0.558956937750292,0.717090926907724,0.00371018090957158,0.00292750557215353,0.00816371428730157,0
"POS1_L",0.222053907377009,0.363410985450913,0.00314796151481947,0.0110286028699485,0.0159962414522826,0
"X23d_L",0.503739681657386,0.669982561213223,0.00881853610607482,0.00868760134384851,0.0178567901186542,0
"v23ab_L",0.48190188957701,0.650382988194398,0.00786793981025763,0.00845891007440192,0.0175628973309629,0
"d23ab_L",0.677507858809902,0.80775521289129,0.0078278679359806,0.00372604665584552,0.0105462839313911,0
"X31pv_L",0,0,0,0,0,1
"X5m_L",0.381959745363588,0.552779842748742,0.0103851074598047,0.0168039028635714,0.0334692969346741,0
"X5mv_L",0.311358942217533,0.474864557969184,0.0072174808037929,0.0159630989874577,0.036703437545044,0
